sr_sample_accession,sr_run_accession,refseq_sample,refseq_gcf_accession,duplicate_removed,in_bakrep_sheet,in_assembly_scan,bakrep_FINAL,bakrep_instrument_platform,bakrep_gtdbtk_species,bakrep_checkm2_completeness,bakrep_checkm2_contamination,bakrep_study_accession,kleborate_species,kleborate_species_match,kleborate_contig_count,kleborate_N50
SAMN15148602,SRR11948674,GCF_013706045.1_ASM1370604v1_genomic,GCF_013706045.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.51,PRJNA605147,Klebsiella pneumoniae,strong,329,130288
SAMEA3357174,ERR1023860,GCF_904866255.1_INF223_genomic,GCF_904866255.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.07,PRJNA646837 || PRJEB6891,Klebsiella pneumoniae,strong,79,270837
SAMEA3357107,ERR1023812,GCF_904863095.1_INF174_genomic,GCF_904863095.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.1,PRJNA646837 || PRJEB6891,Klebsiella pneumoniae,strong,83,340661
SAMN10390445,SRR8174954,GCF_011065345.1_ASM1106534v1_genomic,GCF_011065345.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.44,PRJNA503964,Klebsiella pneumoniae,strong,104,437889
SAMD00499388,DRR387892,GCF_045862425.1_ASM4586242v1_genomic,GCF_045862425.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.59,PRJDB10842,Klebsiella pneumoniae,strong,219,142934
SAMN08391417,SRR6653995,GCF_003076555.1_ASM307655v1_genomic,GCF_003076555.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.1,PRJNA431464,Klebsiella pneumoniae,strong,79,267600
SAMN44266245,SRR30971621,GCF_049352695.1_S834_genomic,GCF_049352695.1,False,False,False,,,,,,,,,,
SAMEA3357212,ERR1008783,GCF_904864505.1_INF331_genomic,GCF_904864505.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.34,PRJEB6891,Klebsiella pneumoniae,strong,51,318041
SAMD00194518,DRR199354,GCF_014169255.1_ASM1416925v1_genomic,GCF_014169255.1,False,True,True,False,ILLUMINA,Klebsiella quasipneumoniae,100.0,0.53,PRJDB6962,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,319,130786
SAMN48185771,SRR33346711,GCF_051606405.1_ASM5160640v1_genomic,GCF_051606405.1,False,False,False,,,,,,,,,,
SAMN02713685,SRR1427243,GCF_000695935.1_ASM69593v1_genomic,GCF_000695935.1,False,True,True,False,ILLUMINA || PACBIO_SMRT || LS454 || PACBIO_SMRT || PACBIO_SMRT || PACBIO_SMRT || LS454 || PACBIO_SMRT || PACBIO_SMRT || PACBIO_SMRT || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.84,PRJNA198783,Klebsiella pneumoniae,strong,416,87813
SAMEA3357226,ERR1008790,GCF_904865755.1_INF341_genomic,GCF_904865755.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.56,PRJNA646837 || PRJEB6891,Klebsiella pneumoniae,strong,93,197964
SAMN15148624,SRR11948714,GCF_013611495.1_ASM1361149v1_genomic,GCF_013611495.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.75,PRJNA605147,Klebsiella pneumoniae,strong,271,156470
SAMN05960914,SRR5513574,GCF_002187935.3_ASM218793v3_genomic,GCF_002187935.3,False,True,True,False,ILLUMINA,Klebsiella quasipneumoniae,100.0,0.1,PRJNA351846,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,160,292035
SAMN03280386,SRR2132036,GCF_001185665.2_ASM118566v3_genomic,GCF_001185665.2,False,True,True,False,ILLUMINA || ILLUMINA || ILLUMINA || ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.15,PRJNA271899,Klebsiella pneumoniae,strong,110,196925
SAMD00287287,DRR279228,GCF_021655495.1_ASM2165549v1_genomic,GCF_021655495.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.5,PRJDB9509,Klebsiella pneumoniae,strong,72,396710
SAMEA3357374,ERR1023671,GCF_002753375.2_ASM275337v2_genomic,GCF_002753375.2,False,True,True,False,ILLUMINA || OXFORD_NANOPORE || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.16,PRJEB6891 || PRJNA351909,Klebsiella pneumoniae,strong,50,266613
SAMEA3357237,ERR1008793,GCF_904866315.1_INF346_genomic,GCF_904866315.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.11,PRJNA646837 || PRJEB6891,Klebsiella pneumoniae,strong,62,313069
SAMEA3357060,ERR1008705,GCF_904863355.1_INF148_genomic,GCF_904863355.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.42,PRJEB6891,Klebsiella pneumoniae,strong,65,305855
SAMN07265011,SRR6317420,GCF_002211905.1_ASM221190v1_genomic,GCF_002211905.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,1.78,PRJNA391323,Klebsiella pneumoniae,strong,113,152696
SAMEA3357155,ERR1008755,GCF_904866325.1_INF299_genomic,GCF_904866325.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,1.19,PRJNA646837 || PRJEB6891,Klebsiella pneumoniae,strong,77,352120
SAMD00574222,DRR438597,GCF_030295665.1_ASM3029566v1_genomic,GCF_030295665.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.09,PRJDB15144,Klebsiella pneumoniae,strong,77,351443
SAMEA117982249,ERR14823814,GCF_965282925.1_KP13_genomic,GCF_965282925.1,False,False,False,,,,,,,,,,
SAMEA3357214,ERR1008784,GCF_904863075.1_INF334_genomic,GCF_904863075.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.64,PRJEB6891,Klebsiella pneumoniae,strong,52,360369
SAMD00287286,DRR279227,GCF_021655475.1_ASM2165547v1_genomic,GCF_021655475.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.43,PRJDB9509,Klebsiella pneumoniae,strong,74,378947
SAMEA3356968,ERR1023755,GCF_904863055.1_INF022_genomic,GCF_904863055.1,False,True,True,False,ILLUMINA,Klebsiella variicola,100.0,0.65,PRJEB6891,Klebsiella variicola subsp. variicola,strong,194,88944
SAMN01057614,SRR1427234,GCF_000281435.2_ASM28143v2_genomic,GCF_000281435.2,False,True,True,False,PACBIO_SMRT || PACBIO_SMRT || LS454 || PACBIO_SMRT || LS454 || PACBIO_SMRT || ILLUMINA || LS454,Klebsiella pneumoniae,100.0,0.08,PRJNA73843,Klebsiella pneumoniae,strong,153,209773
SAMEA3357096,ERR1023807,GCF_904864475.1_INF168_genomic,GCF_904864475.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.73,PRJEB6891,Klebsiella pneumoniae,strong,60,274043
SAMN29397001,SRR20621831,GCF_025118455.1_ASM2511845v1_genomic,GCF_025118455.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.08,PRJNA853564,Klebsiella pneumoniae,strong,136,373535
SAMN44266244,SRR30971622,GCF_049353735.1_S571_genomic,GCF_049353735.1,False,False,False,,,,,,,,,,
SAMN07211281,SRR5665581,GCF_016629585.1_ASM1662958v1_genomic,GCF_016629585.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.9,PRJNA646837 || PRJEB6891,Klebsiella pneumoniae,strong,201,157569
SAMEA3357009,ERR1008681,GCF_904866235.1_INF122_genomic,GCF_904866235.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.18,PRJEB6891,Klebsiella pneumoniae,strong,94,227692
SAMEA3357145,ERR1023843,GCF_003432185.1_ASM343218v1_genomic,GCF_003432185.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.71,PRJEB6891,Klebsiella pneumoniae,strong,107,261397
SAMEA3357052,ERR1008701,GCF_904865805.1_INF144_genomic,GCF_904865805.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.18,PRJEB6891,Klebsiella pneumoniae,strong,62,290161
SAMN06040389,SRR6514141,GCF_002903005.1_ASM290300v1_genomic,GCF_002903005.1,False,True,True,False,ILLUMINA || PACBIO_SMRT || PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.78,PRJNA430813,Klebsiella pneumoniae,strong,231,121071
SAMN32733973,SRR23080399,GCF_028622155.1_ASM2862215v1_genomic,GCF_028622155.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.88,PRJNA288601 || PRJNA812595,Klebsiella pneumoniae,strong,115,214790
SAMN04014887,SRR3112314,GCF_003571745.1_ASM357174v1_genomic,GCF_003571745.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.7,PRJNA292904,Klebsiella pneumoniae,strong,95,185806
SAMN41327119,SRR28994704,GCF_039604935.1_ASM3960493v2_genomic,GCF_039604935.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.07,PRJNA288601 || PRJNA812595,Klebsiella pneumoniae,strong,103,332415
SAMN38122037,SRR26683554,GCF_045287705.1_ASM4528770v1_genomic,GCF_045287705.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.17,PRJNA288601 || PRJNA812595,Klebsiella pneumoniae,strong,126,295617
SAMN15148610,SRR11949259,GCF_013737695.1_ASM1373769v1_genomic,GCF_013737695.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.13,PRJNA605147,Klebsiella pneumoniae,strong,352,100022
SAMEA3356970,ERR1008661,GCF_904866555.1_INF102_genomic,GCF_904866555.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,1.23,PRJNA646837 || PRJEB6891,Klebsiella pneumoniae,strong,185,102219
SAMN04014994,SRR3112296,GCF_003069525.1_ASM306952v1_genomic,GCF_003069525.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.05,PRJNA292902,Klebsiella pneumoniae,strong,137,184134
SAMEA3357378,ERR1023673,GCF_904864545.1_KSB1_9J_genomic,GCF_904864545.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.45,PRJNA646837 || PRJEB6891,Klebsiella pneumoniae,strong,91,259218
SAMN17131930,SRR13320509,GCF_022433565.1_ASM2243356v1_genomic,GCF_022433565.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella quasipneumoniae,100.0,0.38,PRJNA658369,Klebsiella quasipneumoniae subsp. quasipneumoniae,strong,72,393037
SAMN09205472,SRR7160696,GCF_036787225.1_ASM3678722v1_genomic,GCF_036787225.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.45,PRJNA411762,Klebsiella pneumoniae,strong,134,142748
SAMEA3356952,ERR1023744,GCF_904863205.1_INF008_genomic,GCF_904863205.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.2,PRJEB6891,Klebsiella pneumoniae,strong,81,286923
SAMN03024583,SRR1582868,GCF_001022235.1_ASM102223v1_genomic,GCF_001022235.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA || ILLUMINA,Klebsiella pneumoniae,100.0,0.31,PRJNA353060 || PRJNA246471,Klebsiella pneumoniae,strong,114,155141
SAMEA3356951,ERR1023743,GCF_904859915.1_INF007_genomic,GCF_904859915.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.15,PRJEB6891,Klebsiella pneumoniae,strong,122,209441
SAMN13382581,SRR18543894,GCF_022790165.2_KGMAR-2016-1178_genomic,GCF_022790165.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.15,PRJNA591480,Klebsiella pneumoniae,strong,199,163163
SAMN38450470,SRR26956671,GCF_033970445.1_ASM3397044v2_genomic,GCF_033970445.1,False,True,True,False,ILLUMINA,Klebsiella variicola,100.0,0.19,PRJNA288601,Klebsiella variicola subsp. variicola,strong,100,444415
SAMEA3357054,ERR1008702,GCF_904866205.1_INF145_genomic,GCF_904866205.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.29,PRJEB6891,Klebsiella pneumoniae,strong,50,334192
SAMN32093417,SRR22564892,GCF_028622755.1_ASM2862275v1_genomic,GCF_028622755.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.99,PRJNA288601 || PRJNA812595,Klebsiella pneumoniae,strong,134,198844
SAMN49815544,SRR34410544,GCF_051619525.1_ASM5161952v1_genomic,GCF_051619525.1,False,False,False,,,,,,,,,,
SAMEA3357427,ERR1023695,GCF_020149825.1_ASM2014982v1_genomic,GCF_020149825.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.11,PRJEB6891,Klebsiella pneumoniae,strong,58,329706
SAMN41407426,SRR29042785,GCF_039653445.1_ASM3965344v2_genomic,GCF_039653445.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.92,PRJNA288601 || PRJNA812595,Klebsiella pneumoniae,strong,120,409818
SAMN14453497,SRR14532150,GCF_012029895.2_ASM1202989v2_genomic,GCF_012029895.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.11,PRJNA395086,Klebsiella pneumoniae,strong,90,376471
SAMN15547552,SRR12233605,GCF_023703855.1_ASM2370385v1_genomic,GCF_023703855.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.26,PRJNA646592,Klebsiella pneumoniae,strong,53,405752
SAMN11506009,SRR9333731,GCF_014189335.1_ASM1418933v1_genomic,GCF_014189335.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.43,PRJNA534306,Klebsiella pneumoniae,strong,166,260976
SAMN32676117,SRR23048596,GCF_041861205.1_ASM4186120v1_genomic,GCF_041861205.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.4,PRJNA922900,Klebsiella pneumoniae,strong,86,735310
SAMEA3357358,ERR1023660,GCF_003432145.1_ASM343214v1_genomic,GCF_003432145.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.55,PRJEB6891,Klebsiella pneumoniae,strong,65,444997
SAMN28626275,SRR19372447,GCF_041861035.1_ASM4186103v1_genomic,GCF_041861035.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.09,PRJNA835677,Klebsiella pneumoniae,strong,165,416346
SAMEA115720033,ERR13252999,GCF_964198775.1_Zagreb030_hybrid_assembly.fa.gz_genomic,GCF_964198775.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.56,PRJEB76496,Klebsiella pneumoniae,strong,133,218025
SAMN32676084,SRR23048633,GCF_041861275.1_ASM4186127v1_genomic,GCF_041861275.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.19,PRJNA922900,Klebsiella pneumoniae,strong,76,326012
SAMN32129555,SRR22681172,GCF_027360235.1_ASM2736023v1_genomic,GCF_027360235.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.12,PRJNA910533,Klebsiella pneumoniae,strong,114,258487
SAMN17766507,SRR18543848,GCF_022789185.2_ASM2278918v2_genomic,GCF_022789185.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,1.9,PRJNA591480,Klebsiella pneumoniae,strong,186,333037
SAMN44266223,SRR30971645,GCF_049354595.1_5173_genomic,GCF_049354595.1,False,False,False,,,,,,,,,,
SAMEA3357126,ERR1023825,GCF_904863275.1_INF188_genomic,GCF_904863275.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.07,PRJNA646837 || PRJEB6891,Klebsiella pneumoniae,strong,70,293542
SAMN22024782,SRR16202829,GCF_020526065.1_ASM2052606v1_genomic,GCF_020526065.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,1.17,PRJNA768294,Klebsiella pneumoniae,strong,212,274927
SAMN31261056,SRR21882314,GCF_025676585.1_ASM2567658v2_genomic,GCF_025676585.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella variicola,100.0,0.27,PRJNA288601,Klebsiella variicola subsp. variicola,strong,113,401205
SAMN04014981,SRR3112293,GCF_003204465.1_ASM320446v1_genomic,GCF_003204465.1,False,True,True,False,ILLUMINA || PACBIO_SMRT || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.23,PRJNA292902,Klebsiella pneumoniae,strong,171,117655
SAMN15813776,SRR12569948,GCF_025144525.1_ASM2514452v1_genomic,GCF_025144525.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.18,PRJNA656934,Klebsiella pneumoniae,strong,176,149144
SAMN06040388,SRR6514350,GCF_002903025.1_ASM290302v1_genomic,GCF_002903025.1,False,True,True,False,ILLUMINA || PACBIO_SMRT || ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,1.79,PRJNA430813,Klebsiella pneumoniae,strong,286,119994
SAMN04014916,SRR3112324,GCF_003571605.1_ASM357160v1_genomic,GCF_003571605.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.24,PRJNA292904,Klebsiella pneumoniae,strong,145,290439
SAMN08579613,SRR6764265,GCF_002970375.3_ASM297037v3_genomic,GCF_002970375.3,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.3,PRJNA433394,Klebsiella pneumoniae,strong,109,138992
SAMN44266189,SRR30971683,GCF_049354575.1_5036_genomic,GCF_049354575.1,False,False,False,,,,,,,,,,
SAMN03024610,SRR1582895,GCF_001022035.1_ASM102203v1_genomic,GCF_001022035.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.13,PRJNA246471,Klebsiella pneumoniae,strong,90,203899
SAMEA3357140,ERR1023838,GCF_904866415.1_INF201_genomic,GCF_904866415.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.09,PRJNA646837 || PRJEB6891,Klebsiella pneumoniae,strong,75,319169
SAMEA3357079,ERR1008637,GCF_003660185.1_ASM366018v1_genomic,GCF_003660185.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.09,PRJEB6891,Klebsiella pneumoniae,strong,54,346173
SAMN08111037,SRR14532119,GCF_002812665.1_ASM281266v1_genomic,GCF_002812665.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.88,PRJNA395086,Klebsiella pneumoniae,strong,196,165033
SAMN28626276,SRR19372446,GCF_041861025.1_ASM4186102v1_genomic,GCF_041861025.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.62,PRJNA835677,Klebsiella pneumoniae,strong,52,770543
SAMN44266164,SRR30971710,GCF_049354795.1_4790_genomic,GCF_049354795.1,False,False,False,,,,,,,,,,
SAMN14453492,SRR14532113,GCF_012029935.2_ASM1202993v2_genomic,GCF_012029935.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.81,PRJNA395086,Klebsiella pneumoniae,strong,145,131392
SAMN14453495,SRR14532182,GCF_012029695.2_ASM1202969v2_genomic,GCF_012029695.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.51,PRJNA395086,Klebsiella pneumoniae,strong,135,276767
SAMN07738870,SRR6175453,GCF_904863435.1_KSB1_1B_genomic,GCF_904863435.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,2.12,PRJNA351909,Klebsiella pneumoniae,strong,115,165622
SAMN04014979,SRR5168481,GCF_002192375.1_ASM219237v1_genomic,GCF_002192375.1,False,True,True,False,ILLUMINA || ILLUMINA || PACBIO_SMRT || ILLUMINA || ILLUMINA,Klebsiella pneumoniae,100.0,0.36,PRJNA292902,Klebsiella pneumoniae,strong,88,427634
SAMN44266166,SRR30971708,GCF_049350385.1_4794_genomic,GCF_049350385.1,False,False,False,,,,,,,,,,
SAMN04014928,SRR3290653,GCF_003204175.1_ASM320417v1_genomic,GCF_003204175.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.55,PRJNA292904,Klebsiella pneumoniae,strong,140,213761
SAMEA3357165,ERR1008760,GCF_904866445.1_INF305_genomic,GCF_904866445.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,1.2,PRJEB6891,Klebsiella pneumoniae,strong,81,273785
SAMN17075437,SRR13350376,GCF_020544485.1_ASM2054448v1_genomic,GCF_020544485.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,1.24,PRJNA686374,Klebsiella pneumoniae,strong,143,185212
SAMEA3357196,ERR1008776,GCF_904866505.1_INF323_genomic,GCF_904866505.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.26,PRJEB6891,Klebsiella pneumoniae,strong,172,166617
SAMN06112194,SRR5082451,GCF_904863335.2_ASM90486333v2_genomic,GCF_904863335.2,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.11,PRJNA646837 || PRJNA351909,Klebsiella pneumoniae,strong,115,176930
SAMN17766494,SRR18543812,GCF_022789345.2_KGMAR-2019-2186_genomic,GCF_022789345.2,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.16,PRJNA591480,Klebsiella pneumoniae,strong,80,453171
SAMEA3357187,ERR1008772,GCF_904865695.1_INF319_genomic,GCF_904865695.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,1.15,PRJNA646837 || PRJEB6891,Klebsiella pneumoniae,strong,156,205969
SAMEA3357101,ERR1023809,GCF_904864625.1_INF171_genomic,GCF_904864625.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.09,PRJEB6891,Klebsiella pneumoniae,strong,65,376539
SAMN30109939,SRR20755281,GCF_033100295.1_ASM3310029v1_genomic,GCF_033100295.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella quasipneumoniae,100.0,0.08,PRJNA288601,Klebsiella quasipneumoniae subsp. quasipneumoniae,strong,132,139319
SAMN06112200,SRR5082487,GCF_904866485.1_KSB1_1H_genomic,GCF_904866485.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.37,PRJNA351909,Klebsiella pneumoniae,strong,85,235619
SAMN46544984,SRR33047858,GCF_051549675.1_ASM5154967v1_genomic,GCF_051549675.1,False,False,False,,,,,,,,,,
SAMN15086847,SRR11909882,GCF_014170015.1_ASM1417001v1_genomic,GCF_014170015.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.07,PRJNA636827,Klebsiella pneumoniae,strong,102,502067
SAMN15148644,SRR11948922,GCF_013735895.1_ASM1373589v1_genomic,GCF_013735895.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.31,PRJNA605147,Klebsiella pneumoniae,strong,258,164989
SAMN41479338,SRR29108365,GCF_039734785.1_ASM3973478v2_genomic,GCF_039734785.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.28,PRJNA288601 || PRJNA812595,Klebsiella pneumoniae,strong,126,196727
SAMN32542159,SRR22955928,GCF_044358985.1_ASM4435898v1_genomic,GCF_044358985.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.16,PRJNA917544,Klebsiella pneumoniae,strong,39,500783
SAMEA115720034,ERR13253000,GCF_964198785.1_Zagreb031_hybrid_assembly.fa.gz_genomic,GCF_964198785.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,0.56,PRJEB76496,Klebsiella pneumoniae,strong,124,231638
SAMN02152539,SRR931757,GCF_000364385.3_ASM36438v3_genomic,GCF_000364385.3,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.78,PRJNA183901,Klebsiella pneumoniae,strong,641,19737
SAMN15148443,SRR11949023,GCF_013708685.1_ASM1370868v1_genomic,GCF_013708685.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.15,PRJNA605147,Klebsiella pneumoniae,strong,133,173031
SAMN04014987,SRR5168492,GCF_002180175.1_ASM218017v1_genomic,GCF_002180175.1,False,True,True,False,ILLUMINA || PACBIO_SMRT || ILLUMINA || ILLUMINA,Klebsiella pneumoniae,100.0,0.48,PRJNA292902,Klebsiella pneumoniae,strong,94,324641
SAMN06112206,SRR5082486,GCF_904866475.1_KSB2_9B_genomic,GCF_904866475.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.06,PRJNA351909,Klebsiella pneumoniae,strong,142,160090
SAMEA3357175,ERR1008765,GCF_904863135.1_INF310_genomic,GCF_904863135.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,1.19,PRJEB6891,Klebsiella pneumoniae,strong,82,355183
SAMEA6634591,ERR4007999,GCF_902827215.1_SB5881_genomic,GCF_902827215.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.58,PRJEB37472,Klebsiella pneumoniae,strong,102,196516
SAMN03024573,SRR1582858,GCF_001870165.1_ASM187016v1_genomic,GCF_001870165.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA || ILLUMINA,Klebsiella pneumoniae,100.0,0.1,PRJNA353060 || PRJNA246471,Klebsiella pneumoniae,strong,90,358044
SAMN04014982,SRR3112294,GCF_003071305.1_ASM307130v1_genomic,GCF_003071305.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.27,PRJNA292902,Klebsiella pneumoniae,strong,173,124526
SAMN46484920,SRR32177055,GCF_052882745.1_ASM5288274v1_genomic,GCF_052882745.1,False,False,False,,,,,,,,,,
SAMN04014980,SRR5168485,GCF_002202195.1_ASM220219v1_genomic,GCF_002202195.1,False,True,True,False,ILLUMINA || ILLUMINA || ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.94,PRJNA292902,Klebsiella pneumoniae,strong,146,213346
SAMN07211280,SRR5665578,GCF_002753555.1_ASM275355v1_genomic,GCF_002753555.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,1.03,PRJEB6891,Klebsiella pneumoniae,strong,181,113032
SAMN22024807,SRR16202831,GCF_020525525.1_ASM2052552v1_genomic,GCF_020525525.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella quasipneumoniae,100.0,0.57,PRJNA768294,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,241,368379
SAMN11054834,SRR8668707,GCF_004924315.1_ASM492431v1_genomic,GCF_004924315.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella pneumoniae,100.0,0.2,PRJNA288601,Klebsiella pneumoniae,strong,70,483385
