Strain ID,Species,Specimen,Date collected,Province,"Short-read
sequencer",DDBJ_short_accession,"Long-read
sequencer",DDBJ_long_accession,Sequence type,"Carbapenemase
genotype"
C705,Escherichia coli,Urine,28/3/2017,Udon Thani,HiSeq,DRX141447,-,-,ST46,NDM-5
C706,Klebsiella pneumoniae,Blood,30/3/2017,Udon Thani,HiSeq,DRX141448,-,-,ST336,OXA-181
C707,Klebsiella pneumoniae,Blood,1/4/2017,Udon Thani,HiSeq,DRX141449,-,-,ST336,OXA-181
C708,Klebsiella pneumoniae,Sputum,2/4/2017,Udon Thani,HiSeq,DRX141450,-,-,ST11,OXA-181
C709,Klebsiella pneumoniae,Blood,3/4/2017,Udon Thani,HiSeq,DRX141451,-,-,ST11,OXA-181
C710,Klebsiella pneumoniae,Urine,6/4/2017,Udon Thani,HiSeq,DRX141452,-,-,ST5819,OXA-232
C711,Klebsiella pneumoniae,Blood,15/4/2017,Udon Thani,HiSeq,DRX141453,-,-,ST120,OXA-181
C712,Escherichia coli,Blood,16/4/2017,Udon Thani,HiSeq,DRX141454,-,-,ST410,NDM-5
C713,Escherichia coli,Urine,20/4/2017,Udon Thani,HiSeq,DRX141455,-,-,ST410,NDM-5
C714,Klebsiella pneumoniae,Pus from leg,23/4/2017,Udon Thani,HiSeq,DRX141456,-,-,ST11,OXA-181
C715,Klebsiella pneumoniae,Sputum,24/4/2017,Udon Thani,HiSeq,DRX141457,-,-,ST336,OXA-181
C716,Klebsiella pneumoniae,Blood,24/4/2017,Udon Thani,HiSeq,DRX141458,-,-,ST147,NDM-1
C717,Klebsiella pneumoniae,Sputum,29/4/2017,Udon Thani,HiSeq,DRX141459,-,-,ST336,OXA-181
C718,Escherichia coli,Blood,29/4/2017,Udon Thani,HiSeq,DRX141460,-,-,ST410,NDM-5
C719,Escherichia coli,Blood,30/4/2017,Udon Thani,HiSeq,DRX141461,-,-,ST405,NDM-5
C720,Escherichia coli,Urine,3/5/2017,Udon Thani,HiSeq,DRX141462,-,-,ST354,NDM-1
C721,Klebsiella pneumoniae,Urine,4/5/2017,Udon Thani,HiSeq,DRX141463,-,-,ST336,OXA-181
C722,Klebsiella pneumoniae,Blood,11/5/2017,Udon Thani,HiSeq,DRX141464,-,-,ST1235,GES-5
C724,Klebsiella pneumoniae,Sputum,15/5/2017,Udon Thani,HiSeq,DRX141467,-,-,ST48,NDM-5
C725,Escherichia coli,Urine,18/5/2017,Udon Thani,HiSeq,DRX141468,-,-,ST410,NDM-5
C726,Klebsiella pneumoniae,Sputum,20/5/2017,Udon Thani,HiSeq,DRX141469,-,-,ST11,OXA-181
C727,Escherichia coli,Urine,22/5/2017,Udon Thani,HiSeq,DRX141470,-,-,ST410,NDM-5
C779,Escherichia coli,Urine,2/6/2017,Surin,HiSeq,DRX141471,-,-,ST410,NDM-5
C780,Klebsiella pneumoniae,Sputum,2/6/2017,Surin,HiSeq,DRX141472,-,-,ST231,OXA-232
C781,Escherichia coli,Urine,30/5/2017,Surin,HiSeq,DRX141473,-,-,ST10210,NDM-5
C782,Klebsiella pneumoniae,Sputum,22/5/2017,Surin,HiSeq,DRX141474,-,-,ST231,OXA-232
C783,Escherichia coli,Urine,20/5/2017,Surin,HiSeq,DRX141475,-,-,ST410,NDM-5
C786,Escherichia coli,Urine,6/6/2017,Surin,HiSeq,DRX141480,-,-,ST410,NDM-5
C788,Klebsiella pneumoniae,Urine,9/6/2017,Surin,HiSeq,DRX141483,-,-,ST231,NDM-1
C789,Klebsiella pneumoniae,Sputum,10/6/2017,Surin,HiSeq,DRX141484,-,-,ST15,NDM-1
C790,Klebsiella pneumoniae,Sputum,14/6/2017,Surin,HiSeq,DRX141485,-,-,ST16,NDM-1 OXA-232
C791,Klebsiella pneumoniae,Urine,15/6/2017,Surin,HiSeq,DRX141486,-,-,ST16,NDM-1
C792,Klebsiella pneumoniae,Sputum,15/6/2017,Surin,HiSeq,DRX141487,-,-,ST16,NDM-1 OXA-232
C793,Klebsiella pneumoniae,Sputum,10/5/2017,Bueng Kan,HiSeq,DRX141488,-,-,ST16,NDM-1 OXA-232
C794,Klebsiella pneumoniae,Sputum,17/5/2017,Bueng Kan,HiSeq,DRX141489,-,-,ST16,NDM-1 OXA-232
C795,Klebsiella pneumoniae,Pus,23/5/2017,Bueng Kan,HiSeq,DRX141490,-,-,ST16,NDM-1 OXA-232
C796,Klebsiella pneumoniae,Urine,18/5/2017,Bueng Kan,HiSeq,DRX141491,-,-,ST16,NDM-1 OXA-232
C797,Klebsiella pneumoniae,Sputum,3/6/2017,Bueng Kan,HiSeq,DRX141492,-,-,ST336,OXA-181
C800,Klebsiella pneumoniae,Sputum,19/6/2017,Bueng Kan,HiSeq,DRX141494,-,-,ST336,OXA-181
C803,Klebsiella pneumoniae,Urine,22/4/2017,Nakhon Phanom,HiSeq,DRX141496,-,-,ST340,OXA-181
C810,Escherichia coli,Urine,31/5/2017,Nakhon Phanom,HiSeq,DRX141503,-,-,ST410,NDM-5
C811,Klebsiella pneumoniae,Wound at foot,12/6/2017,Nakhon Phanom,HiSeq,DRX141504,-,-,ST11,OXA-181
C812,Escherichia coli,Urine,12/6/2017,Nakhon Phanom,HiSeq,DRX141505,-,-,ST410,NDM-5
C813,Escherichia coli,Urine,15/6/2017,Nakhon Phanom,HiSeq,DRX141506,-,-,ST131,NDM-1
C814,Klebsiella pneumoniae,Sputum,15/7/2017,Surin,HiSeq,DRX141508,-,-,ST231,OXA-232
C815,Escherichia coli,Sputum,15/7/2017,Surin,HiSeq,DRX141509,-,-,ST410,NDM-5
C827,Escherichia coli,Urine,18/7/2017,Surin,HiSeq,DRX141510,-,-,ST410,NDM-5
C828,Escherichia coli,Bile,13/7/2017,Surin,HiSeq,DRX141511,-,-,ST410,NDM-5
C830,Klebsiella pneumoniae,Sputum,17/7/2017,Surin,HiSeq,DRX141513,-,-,ST15,NDM-1
C831,Klebsiella pneumoniae,Sputum,11/7/2017,Surin,HiSeq,DRX141514,-,-,ST16,NDM-1 OXA-232
C832,Klebsiella pneumoniae,Sputum,17/7/2017,Surin,HiSeq,DRX141515,-,-,ST15,NDM-1
C833,Klebsiella pneumoniae,Sputum,6/7/2017,Surin,HiSeq,DRX141516,-,-,ST16,NDM-1 OXA-232
C834,Klebsiella pneumoniae,Sputum,5/7/2017,Surin,HiSeq,DRX141517,-,-,ST638,NDM-1
C835,Escherichia coli,Urine,21/7/2017,Surin,HiSeq,DRX141518,-,-,ST410,NDM-5
C104B,Escherichia coli,Urine,4/6/2016,Surin,HiSeq,DRX115384,-,-,ST410,NDM-5
C104R,Klebsiella pneumoniae,Urine,4/6/2016,Surin,HiSeq,DRX115385,-,-,ST147,NDM-1
C165B,Escherichia coli,Sputum,18/6/2015,Surat Thani,HiSeq,DRX141054,-,-,ST410,OXA-181
C165R,Klebsiella pneumoniae,Sputum,18/6/2015,Surat Thani,HiSeq,DRX141055,-,-,ST16,NDM-1
C168B,Escherichia coli,Urine,20/6/2015,Surat Thani,HiSeq,DRX141058,-,-,ST410,OXA-181
C168R,Klebsiella pneumoniae,Urine,20/6/2015,Surat Thani,HiSeq,DRX141059,-,-,ST101,NDM-1
C175B,Escherichia coli,Wound at buttock,5/8/2015,Surat Thani,HiSeq,DRX141064,-,-,ST1340,OXA-181
C175R,Klebsiella pneumoniae,Wound at buttock,5/8/2015,Surat Thani,HiSeq,DRX141065,-,-,ST16,NDM-1
C179B,Escherichia coli,Sputum,6/8/2015,Surat Thani,HiSeq,DRX141069,-,-,ST448,NDM-4
C180R,Klebsiella pneumoniae,Sputum,19/8/2015,Surat Thani,HiSeq,DRX141071,-,-,ST101,NDM-1
C180W,Klebsiella pneumoniae,Sputum,19/8/2015,Surat Thani,HiSeq,DRX141072,-,-,ST677,NDM-1
C181W,Klebsiella pneumoniae,Sputum,19/8/2015,Surat Thani,HiSeq,DRX141074,-,-,ST147,NDM-1
C185B,Escherichia coli,Blood,28/12/2015,Surat Thani,HiSeq,DRX141078,-,-,ST410,OXA-181
C185R,Klebsiella pneumoniae,Blood,28/12/2015,Surat Thani,HiSeq,DRX141079,-,-,ST11,NDM-1
C190R,Klebsiella pneumoniae,Sputum,27/1/2016,Surat Thani,HiSeq,DRX141084,-,-,ST15,NDM-1
C211S,Klebsiella pneumoniae,Urine,1/3/2016,Surat Thani,HiSeq,DRX141098,-,-,ST336,OXA-181
C238R,Klebsiella pneumoniae,Sputum,2/7/2016,Surat Thani,HiSeq,DRX141118,-,-,ST16,NDM-1 OXA-232
C289B,Escherichia coli,Sputum,16/6/2016,Udon Thani,HiSeq,DRX141158,-,-,ST410,NDM-5
C289R,Klebsiella pneumoniae,Sputum,16/6/2016,Udon Thani,HiSeq,DRX141159,-,-,ST336,NDM-1
C395S,Klebsiella pneumoniae,Blood,24/10/2016,Sakon Nakhon,HiSeq,DRX141260,-,-,ST48,NDM-1
C431W,Escherichia coli,Urine,17/10/2016,Udon Thani,HiSeq,DRX141295,-,-,ST405,NDM-5
C723B,Escherichia coli,Urine,15/5/2017,Udon Thani,HiSeq,DRX141465,-,-,ST38,NDM-1
C723R,Klebsiella pneumoniae,Urine,15/5/2017,Udon Thani,HiSeq,DRX141466,GridION,DRX187489,ST1235,NDM-1 GES-5
C784B,Escherichia coli,Sputum,17/6/2017,Surin,HiSeq,DRX141476,-,-,ST410,NDM-5
C784R,Klebsiella pneumoniae,Sputum,17/6/2017,Surin,HiSeq,DRX141477,-,-,ST231,OXA-232
C785B,Escherichia coli,Urine,8/6/2017,Surin,HiSeq,DRX141478,-,-,ST410,NDM-5
C785R,Klebsiella pneumoniae,Urine,8/6/2017,Surin,HiSeq,DRX141479,-,-,ST231,OXA-232
C787B,Escherichia coli,Pus,9/6/2017,Surin,HiSeq,DRX141481,-,-,ST410,NDM-5
C787R,Klebsiella pneumoniae,Pus,9/6/2017,Surin,HiSeq,DRX141482,-,-,ST231,OXA-232
C802R,Klebsiella pneumoniae,Urine,22/4/2017,Nakhon Phanom,HiSeq,DRX141495,-,-,ST340,OXA-181
C805P,Klebsiella pneumoniae,Sputum,14/5/2017,Nakhon Phanom,HiSeq,DRX141499,-,-,ST39,IMP-14
EC01,Escherichia coli,Urine,12/12/2013,Bangkok,-,-,PacBio,DRX187468,ST131,NDM-1
EC02,Escherichia coli,Wound,23/1/2014,Bangkok,HiSeq,DRX115050,PacBio,DRX187469,ST131,NDM-1
EC04,Escherichia coli,Urine,12/12/2012,Bangkok,-,-,PacBio,DRX187470,ST410,OXA-181
EC05,Escherichia coli,Bile,25/3/2012,Bangkok,-,-,PacBio,DRX187471,ST8891,NDM-1
EC06,Escherichia coli,Urine,11/5/2013,Bangkok,HiSeq,DRX115054,PacBio,DRX187472,ST131,NDM-1
EC07,Escherichia coli,Bile,19/6/2014,Bangkok,HiSeq,DRX115055,-,-,ST1193,NDM-1
EC08,Escherichia coli,Urine,21/2/2015,Bangkok,HiSeq,DRX115056,GridION,DRX187490,ST361,NDM-5
EC09,Escherichia coli,Urine,25/2/2015,Bangkok,HiSeq,DRX115057,-,-,ST361,NDM-5
EC10,Escherichia coli,Wound,2/8/2015,Bangkok,HiSeq,DRX115058,-,-,ST10,NDM-1
KP01,Klebsiella pneumoniae,Rectal swab,17/1/2014,Bangkok,-,-,PacBio,DRX061698,ST340,NDM-1
KP02,Klebsiella pneumoniae,Blood,23/11/2014,Bangkok,-,-,PacBio,DRX114713,ST340,NDM-1
KP05,Klebsiella pneumoniae,Bedsore,6/6/2014,Bangkok,-,-,PacBio,DRX114714,ST11,NDM-1
KP06,Klebsiella pneumoniae,Urine,15/8/2014,Bangkok,-,-,PacBio,DRX114715,ST231,NDM-1
KP07,Klebsiella pneumoniae,Blood,25/2/2015,Bangkok,-,-,PacBio,DRX114716,ST231,NDM-1
KP08,Klebsiella pneumoniae,Urine,22/6/2014,Bangkok,HiSeq,DRX114717,-,-,ST231,NDM-1
KP09,Klebsiella pneumoniae,Urine,7/3/2014,Bangkok,-,-,PacBio,DRX114718,ST11,NDM-1
KP10,Klebsiella pneumoniae,Sputum,26/3/2014,Bangkok,-,-,PacBio,DRX114719,ST231,NDM-1
KP11,Klebsiella pneumoniae,Urine,26/6/2014,Bangkok,-,-,PacBio,DRX114720,ST231,NDM-1
KP12,Klebsiella pneumoniae,Urine,18/12/2013,Bangkok,-,-,PacBio,DRX114721,ST340,NDM-1
KP13,Klebsiella pneumoniae,Sputum,4/4/2014,Bangkok,-,-,PacBio,DRX114722,ST231,NDM-1
KP16,Klebsiella pneumoniae,Ascitic fluid,23/2/2015,Bangkok,-,-,PacBio,DRX114723,ST35,IMP-14
KP17,Klebsiella pneumoniae,Dranage fluid,23/1/2015,Bangkok,-,-,PacBio,DRX114724,ST37,NDM-1
KP18,Klebsiella pneumoniae,Sputum,11/1/2014,Bangkok,-,-,PacBio,DRX114725,ST340,NDM-1
KP19,Klebsiella pneumoniae,Urine,18/8/2014,Bangkok,-,-,PacBio,DRX114726,ST11,NDM-1
KP20,Klebsiella pneumoniae,Urine,14/1/2013,Bangkok,-,-,PacBio,DRX114727,ST2287,NDM-1
KP21,Klebsiella pneumoniae,Urine,3/7/2014,Bangkok,HiSeq,DRX114728,-,-,ST11,NDM-1
KP22,Klebsiella pneumoniae,Sputum,21/4/2014,Bangkok,-,-,PacBio,DRX114729,ST11,OXA-48
KP27,Klebsiella pneumoniae,Urine,8/12/2014,Bangkok,-,-,PacBio,DRX114730,ST231,NDM-1
KP30,Klebsiella pneumoniae,Percutaneous dranage fluid,7/12/2014,Bangkok,HiSeq,DRX114731,-,-,ST16,OXA-181
KP33,Klebsiella pneumoniae,Urine,13/6/2014,Bangkok,-,-,PacBio,DRX114732,ST14,NDM-1
KP34,Klebsiella pneumoniae,Urine,20/3/2014,Bangkok,-,-,PacBio,DRX187473,ST231,NDM-1
KP35,Klebsiella pneumoniae,Urine,4/9/2013,Bangkok,HiSeq,DRX114734,-,-,ST340,NDM-1
KP36,Klebsiella pneumoniae,Urine,24/8/2014,Bangkok,-,-,PacBio,DRX187474,ST231,NDM-1
KP38,Klebsiella pneumoniae,Urine,2/2/2014,Bangkok,-,-,PacBio,DRX187475,ST231,NDM-1
KP42,Klebsiella pneumoniae,Urine,11/6/2014,Bangkok,-,-,PacBio,DRX114737,ST14,NDM-1
KP43,Klebsiella pneumoniae,Blood,30/12/2014,Bangkok,HiSeq,DRX115067,-,-,ST231,OXA-232
KP44,Klebsiella pneumoniae,Blood,10/6/2014,Bangkok,-,-,PacBio,DRX114738,ST16,NDM-1
KP45,Klebsiella pneumoniae,Urine,24/3/2014,Bangkok,-,-,PacBio,DRX115068,ST231,NDM-1
KP46,Klebsiella pneumoniae,Urine,24/3/2014,Bangkok,HiSeq,DRX115069,-,-,ST231,NDM-1
KP47,Klebsiella pneumoniae,Urine,27/6/2014,Bangkok,HiSeq,DRX115071,-,-,ST231,NDM-1
KP49,Klebsiella pneumoniae,Sputum,25/11/2014,Bangkok,-,-,PacBio,DRX114739,ST231,NDM-1
KP50,Klebsiella pneumoniae,Urine,3/8/2014,Bangkok,-,-,PacBio,DRX115072,ST14,NDM-1 OXA-232
KP51,Klebsiella pneumoniae,Urine,3/11/2014,Bangkok,HiSeq,DRX115073,-,-,ST340,NDM-1
KP52,Klebsiella pneumoniae,Wound,25/2/2015,Bangkok,-,-,PacBio,DRX114740,ST231,NDM-1
KP54,Klebsiella pneumoniae,Sputum,12/2/2015,Bangkok,-,-,PacBio,DRX115074,ST231,OXA-48
KP55,Klebsiella pneumoniae,Urine,16/3/2015,Bangkok,-,-,PacBio,DRX114741,ST231,NDM-1
KP56,Klebsiella pneumoniae,Blood,5/7/2015,Bangkok,-,-,PacBio,DRX114742,ST2072,IMP-14
KP60,Klebsiella pneumoniae,Urine,20/6/2015,Bangkok,HiSeq,DRX114743,-,-,ST65,NDM-1
KP64,Klebsiella pneumoniae,Urine,16/4/2015,Bangkok,-,-,PacBio,DRX114744,ST14,NDM-1
KP65,Klebsiella pneumoniae,Sputum,30/4/2015,Bangkok,-,-,PacBio,DRX114745,ST231,NDM-1
KP66,Klebsiella pneumoniae,Urine,24/5/2015,Bangkok,-,-,PacBio,DRX114746,ST14,NDM-1
KP67,Klebsiella pneumoniae,Urine,22/3/2015,Bangkok,-,-,PacBio,DRX114747,ST14,NDM-1
KP68,Klebsiella pneumoniae,Rectal swab,3/7/2015,Bangkok,HiSeq,DRX114748,PacBio,DRX187476,ST340,NDM-1
KP70,Klebsiella pneumoniae,Urine,10/8/2015,Bangkok,HiSeq,DRX115075,-,-,ST340,NDM-1
KP74,Klebsiella pneumoniae,Urine,23/10/2015,Bangkok,HiSeq,DRX114749,-,-,ST14,NDM-1 OXA-232
KP76,Klebsiella pneumoniae,Nasal fluid,18/9/2015,Bangkok,HiSeq,DRX114750,-,-,ST231,OXA-232
KP77,Klebsiella pneumoniae,Dranage fluid,10/9/2015,Bangkok,-,-,PacBio,DRX187477,ST11,NDM-1
KP78,Klebsiella pneumoniae,Urine,30/9/2015,Bangkok,HiSeq,DRX114752,-,-,ST231,OXA-232
KP83,Klebsiella pneumoniae,Urine,26/10/2015,Bangkok,HiSeq,DRX114753,-,-,ST101,OXA-181
KP87,Klebsiella pneumoniae,Urine from percutaneous nephrostomy,5/10/2015,Bangkok,HiSeq,DRX114754,-,-,ST11,NDM-1
KP89,Klebsiella pneumoniae,Urine,2/11/2015,Bangkok,HiSeq,DRX115077,-,-,ST340,OXA-181
KP90,Klebsiella pneumoniae,Urine,30/10/2015,Bangkok,HiSeq,DRX114755,-,-,ST16,NDM-4
KP91,Klebsiella pneumoniae,Urine from catheter,4/11/2015,Bangkok,HiSeq,DRX114756,-,-,ST336,NDM-1
KP95,Klebsiella pneumoniae,Rectal Swab,9/11/2015,Bangkok,HiSeq,DRX114757,-,-,ST231,NDM-1
KP97,Klebsiella pneumoniae,Urine,15/11/2015,Bangkok,HiSeq,DRX114758,-,-,ST14,NDM-1
KP99,Klebsiella pneumoniae,Abdominal wound,10/12/2015,Bangkok,HiSeq,DRX114759,-,-,ST340,NDM-1
KP100,Klebsiella pneumoniae,Swab from Penis,7/12/2015,Bangkok,-,-,PacBio,DRX187478,ST14,NDM-1
KP101,Klebsiella pneumoniae,Urine,22/12/2015,Bangkok,HiSeq,DRX115078,-,-,ST16,OXA-232
KP102,Klebsiella pneumoniae,Sputum,20/12/2015,Bangkok,HiSeq,DRX115079,-,-,ST16,NDM-1 OXA-232
KP103,Klebsiella pneumoniae,Sputum,24/12/2015,Bangkok,HiSeq,DRX115080,-,-,ST16,OXA-232
KP104,Klebsiella pneumoniae,Bile,21/12/2015,Bangkok,HiSeq,DRX115081,-,-,ST16,NDM-1 OXA-232
KP105,Klebsiella pneumoniae,Swab from groin,21/12/2015,Bangkok,HiSeq,DRX115082,-,-,ST16,NDM-1 OXA-232
KP106,Klebsiella pneumoniae,Pus,18/12/2015,Bangkok,HiSeq,DRX115083,-,-,ST231,OXA-48
KP107,Klebsiella pneumoniae,Urine,25/12/2015,Bangkok,HiSeq,DRX115084,-,-,ST16,NDM-1 OXA-232
KP108,Klebsiella pneumoniae,Urine,21/12/2015,Bangkok,HiSeq,DRX115085,-,-,ST16,NDM-1 OXA-232
KP109,Klebsiella pneumoniae,Sputum,21/12/2015,Bangkok,HiSeq,DRX115086,-,-,ST16,NDM-1 OXA-181
KP110,Klebsiella pneumoniae,Urine,25/12/2015,Bangkok,HiSeq,DRX115087,-,-,ST16,NDM-1 OXA-232
KP111,Klebsiella pneumoniae,Urine,25/12/2015,Bangkok,HiSeq,DRX115088,-,-,ST16,NDM-1 OXA-232
KP112,Klebsiella pneumoniae,Urine,23/12/2015,Bangkok,HiSeq,DRX115089,-,-,ST16,NDM-1 OXA-232
KP116,Klebsiella pneumoniae,Urine,9/1/2016,Bangkok,HiSeq,DRX114761,-,-,ST14,NDM-1
KP117,Klebsiella pneumoniae,Sputum,4/1/2016,Bangkok,HiSeq,DRX114762,-,-,ST14,NDM-1 OXA-232
KP121,Klebsiella pneumoniae,Urine,12/1/2016,Bangkok,HiSeq,DRX114763,-,-,ST14,NDM-1 OXA-232
KP122,Klebsiella pneumoniae,Sputum,30/12/2015,Bangkok,HiSeq,DRX115091,-,-,ST16,NDM-1 OXA-232
KP123,Klebsiella pneumoniae,Sputum,1/1/2016,Bangkok,HiSeq,DRX115092,-,-,ST16,NDM-1 OXA-232
KP124,Klebsiella pneumoniae,Sputum,7/1/2016,Bangkok,HiSeq,DRX115093,-,-,ST16,NDM-1 OXA-232
KP125,Klebsiella pneumoniae,Sputum,12/1/2016,Bangkok,HiSeq,DRX115094,-,-,ST16,NDM-1 OXA-232
KP126,Klebsiella pneumoniae,Sputum,3/4/2016,Bangkok,HiSeq,DRX115095,-,-,ST147,NDM-1
KP127,Klebsiella pneumoniae,Urine,11/1/2016,Bangkok,HiSeq,DRX115096,-,-,ST16,OXA-232
KP128,Klebsiella pneumoniae,Pus,13/1/2016,Bangkok,HiSeq,DRX115097,-,-,ST231,OXA-48
KP129,Klebsiella pneumoniae,Urine,22/1/2016,Bangkok,HiSeq,DRX115098,-,-,ST16,NDM-1 OXA-232
KP130,Klebsiella pneumoniae,Sputum,14/1/2016,Bangkok,HiSeq,DRX115099,-,-,ST16,NDM-1 OXA-232
KP131,Klebsiella pneumoniae,Urine,21/1/2016,Bangkok,HiSeq,DRX115100,-,-,ST2325,NDM-9
KP132,Klebsiella pneumoniae,Abdominal wound,24/1/2016,Bangkok,HiSeq,DRX115101,-,-,ST231,OXA-48
KP134,Klebsiella pneumoniae,Blood,2/11/2016,Bangkok,HiSeq,DRX115102,-,-,ST1224,NDM-1
KP135,Klebsiella pneumoniae,Blood,2/10/2016,Bangkok,HiSeq,DRX114764,-,-,ST16,NDM-5
KP136,Klebsiella pneumoniae,Urine,2/10/2016,Bangkok,HiSeq,DRX114765,-,-,ST231,OXA-232
KP137,Klebsiella pneumoniae,Urine,2/6/2016,Bangkok,HiSeq,DRX114766,-,-,ST14,NDM-1 OXA-232
KP141,Klebsiella pneumoniae,Urine from catheter,2/12/2016,Bangkok,HiSeq,DRX114767,-,-,ST147,NDM-1
KP142,Klebsiella pneumoniae,Bronchoalveolar lavage,2/9/2016,Bangkok,HiSeq,DRX114768,-,-,ST231,OXA-232
KP143,Klebsiella pneumoniae,Bile,2/11/2016,Bangkok,HiSeq,DRX114769,-,-,ST14,NDM-1
KP145,Klebsiella pneumoniae,Urine,2/9/2016,Bangkok,HiSeq,DRX115103,-,-,ST16,OXA-232
KP146,Klebsiella pneumoniae,Urine,2/8/2016,Bangkok,HiSeq,DRX115104,-,-,ST16,NDM-1 OXA-232
KP147,Klebsiella pneumoniae,Dranage fluid,2/4/2016,Bangkok,HiSeq,DRX115105,-,-,ST16,NDM-1 OXA-232
KP148,Klebsiella pneumoniae,Ascitic fluid,2/1/2016,Bangkok,HiSeq,DRX115106,-,-,ST16,NDM-1 OXA-232
KP149,Klebsiella pneumoniae,Urine,2/3/2016,Bangkok,HiSeq,DRX115107,-,-,ST231,OXA-48
KP150,Klebsiella pneumoniae,Urine,2/1/2016,Bangkok,HiSeq,DRX115108,-,-,ST16,NDM-1 OXA-232
KP151,Klebsiella pneumoniae,Sputum,2/2/2016,Bangkok,HiSeq,DRX115109,-,-,ST16,NDM-1 OXA-232
KP152,Klebsiella pneumoniae,Sputum,2/2/2016,Bangkok,HiSeq,DRX115110,-,-,ST16,NDM-1 OXA-232
KP153,Klebsiella pneumoniae,Urine,29/1/2016,Bangkok,HiSeq,DRX115111,-,-,ST16,OXA-232
KP154,Klebsiella pneumoniae,Sputum,30/1/2016,Bangkok,HiSeq,DRX115112,-,-,ST147,OXA-48
KP155,Klebsiella pneumoniae,Urine,31/1/2016,Bangkok,HiSeq,DRX115113,-,-,ST16,NDM-1 OXA-232
KP156,Klebsiella pneumoniae,Pus,31/1/2016,Bangkok,HiSeq,DRX115114,-,-,ST16,NDM-1 OXA-232
KP157,Klebsiella pneumoniae,Percutaneous dranage fluid,19/2/2016,Bangkok,HiSeq,DRX114770,-,-,ST231,OXA-232
KP160,Klebsiella pneumoniae,Sputum,3/3/2016,Bangkok,HiSeq,DRX115115,-,-,ST16,OXA-232
KP161,Klebsiella pneumoniae,Urine,3/2/2016,Bangkok,HiSeq,DRX115116,GridION,DRX187491,ST14,OXA-232
KP162,Klebsiella pneumoniae,Blood,3/2/2016,Bangkok,HiSeq,DRX115117,-,-,ST16,OXA-232
KP163,Klebsiella pneumoniae,Urine from catheter,22/2/2016,Bangkok,HiSeq,DRX114771,-,-,ST14,NDM-1 OXA-232
KP164,Klebsiella pneumoniae,Sputum,3/7/2016,Bangkok,HiSeq,DRX115118,PacBio,DRX187479,ST16,NDM-1 OXA-232
KP173,Klebsiella pneumoniae,Rectal swab,3/10/2016,Bangkok,HiSeq,DRX114772,-,-,ST17,OXA-181
KP175,Klebsiella pneumoniae,Abdominal wound,3/9/2016,Bangkok,HiSeq,DRX114773,-,-,ST231,OXA-232
KP178,Klebsiella pneumoniae,Rectal swab,14/3/2016,Bangkok,HiSeq,DRX114774,-,-,ST231,OXA-232
KP181,Klebsiella pneumoniae,Urine,15/3/2016,Bangkok,HiSeq,DRX115120,-,-,ST16,NDM-1
KP188,Klebsiella pneumoniae,Ascitic fluid,17/3/2016,Bangkok,HiSeq,DRX115121,-,-,ST16,NDM-1 OXA-232
KP189,Klebsiella pneumoniae,Urine,3/11/2016,Bangkok,HiSeq,DRX115122,-,-,ST16,OXA-232
KP190,Klebsiella pneumoniae,Urine,14/3/2016,Bangkok,HiSeq,DRX115123,-,-,ST16,NDM-1 OXA-232
KP191,Klebsiella pneumoniae,Pus,18/2/2016,Bangkok,HiSeq,DRX115124,-,-,ST16,OXA-232
KP192,Klebsiella pneumoniae,Sputum,19/2/2016,Bangkok,HiSeq,DRX115125,-,-,ST147,OXA-48
KP193,Klebsiella pneumoniae,Urine,19/2/2016,Bangkok,HiSeq,DRX115126,-,-,ST16,NDM-1 OXA-181
KP194,Klebsiella pneumoniae,Pus,21/2/2016,Bangkok,HiSeq,DRX115127,-,-,ST231,OXA-48
KP195,Klebsiella pneumoniae,Urine,19/3/2016,Bangkok,HiSeq,DRX115128,-,-,ST16,NDM-1 OXA-232
KP200,Klebsiella pneumoniae,Rectal swab,30/3/2016,Bangkok,HiSeq,DRX114776,-,-,ST147,NDM-1
KP202,Klebsiella pneumoniae,Urine,4/1/2016,Bangkok,HiSeq,DRX114777,-,-,ST16,NDM-1 OXA-232
KP204,Klebsiella pneumoniae,Sputum,4/4/2016,Bangkok,HiSeq,DRX115130,-,-,ST16,NDM-1 OXA-232
KP207,Klebsiella pneumoniae,Sputum,25/4/2016,Bangkok,HiSeq,DRX114778,-,-,ST11,NDM-1
KP208,Klebsiella pneumoniae,Urine,24/4/2016,Bangkok,HiSeq,DRX115131,-,-,ST231,OXA-232
KP209,Klebsiella pneumoniae,Stool,25/4/2016,Bangkok,HiSeq,DRX115132,-,-,ST16,NDM-1 OXA-232
KP210,Klebsiella pneumoniae,Stool,25/4/2016,Bangkok,HiSeq,DRX115133,-,-,ST16,NDM-1 OXA-232
KP211,Klebsiella pneumoniae,Urine,25/4/2016,Bangkok,HiSeq,DRX115134,-,-,ST16,NDM-1
KP212,Klebsiella pneumoniae,Urine,25/4/2016,Bangkok,HiSeq,DRX115135,-,-,ST16,NDM-1
KP213,Klebsiella pneumoniae,Urine,20/4/2016,Bangkok,HiSeq,DRX114779,-,-,ST231,OXA-232
KP215,Klebsiella pneumoniae,Blood,14/4/2016,Bangkok,HiSeq,DRX114780,-,-,ST231,OXA-232
KP216,Klebsiella pneumoniae,Urine,18/4/2016,Bangkok,HiSeq,DRX114781,-,-,ST231,OXA-232
