reference,strain,SampleAcc,LaneAcc,SupplierName,StudyAccession,species,species_match,contig_count,N50,largest_contig,total_size,ambiguous_bases,QC_warnings,ST,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,Yersiniabactin,YbST,Colibactin,CbST,Aerobactin,AbST,Salmochelin,SmST,RmpADC,RmST,rmpA2,wzi,K_locus,AGly_acquired,Col_acquired,Fcyn_acquired,Flq_acquired,Gly_acquired,MLS_acquired,Phe_acquired,Rif_acquired,Sul_acquired,Tet_acquired,Tgc_acquired,Tmt_acquired,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,truncated_resistance_hits,spurious_resistance_hits,Chr_ST,gapA,infB,mdh,pgi,phoE,rpoB,tonB,ybtS,ybtX,ybtQ,ybtP,ybtA,irp2,irp1,ybtU,ybtT,ybtE,fyuA,clbA,clbB,clbC,clbD,clbE,clbF,clbG,clbH,clbI,clbL,clbM,clbN,clbO,clbP,clbQ,iucA,iucB,iucC,iucD,iutA,iroB,iroC,iroD,iroN,rmpA,rmpD,rmpC,spurious_virulence_hits,SUPPLIER_SAMPLE_NAME,DATE,Strain,main_ST,neonate,major_wards
this study,42070_2#15,ERS7985195,ERR12058533,BKR2TD,ERP126322,Klebsiella pneumoniae,strong,100,313905,694798,5914316,yes (1687),ambiguous_bases,ST23,5,1,7,13,ybt 1; ICEKp10,43,clb 2,29,iuc 1,1,iro 1,2,rmp 1; KpVP-1,40,rmpA2_3-47%,wzi1,KL1,aac(3)-IId^;aac(6')-Ib-cr.v2;aadA*,-,-,-,-,-,CatB4.v1;cmlA5,arr-2,sul2,-,-,dfrA14.v2*;dfrA30*,OXA-1;OXA-10;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,LAP-2?-75%,ST23,2,1,1,1,9,4,12,2,17,2,2,2,36,6,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,4,1,1,2,3,2,-,BKR2TD,2013,NA,other,n,PAEDIATRIC MOYO WARD
this study,42070_2#160,ERS7985556,ERR12058671,CAA1JC,ERP126322,Klebsiella pneumoniae,strong,113,193465,454554,5475002,yes (21),ambiguous_bases,ST245-1LV,0,1,7,13,-,0,-,0,-,0,-,0,-,0,-,wzi224,KL49,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2*,-,-,-,-,-,CatB4.v1;catII.2*;cmlA5,arr-2,sul2,-,-,dfrA14.v2*;dfrA16.v2,OXA-1;OXA-10;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,OXA-9.v1*-42%;aadA3?-87%;aadA?-0%,-,ST245-1LV,2,1,1,1,2,1,373,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CAA1JC,2017,NA,other,n,PAEDIATRIC NURSERY
this study,42070_2#161,ERS7985228,ERR12058672,CAAH4B,ERP126322,Klebsiella pneumoniae,strong,50,356025,972760,5649556,yes (1217),ambiguous_bases,ST1552,0,1,8,13,-,0,-,0,-,0,-,0,-,0,-,wzi119,KL24,aac(3)-IIa.v1;aadA1.v1^;strA.v1^;strB.v1,-,-,qnrB1.v2^,-,-,catA1^,-,sul1;sul2,tet(A).v1,-,dfrA1.v2;dfrA14.v2*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST1552,2,1,2,1,3,25,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CAAH4B,2018,NA,ST1552,n,PICU/HDU
this study,42070_2#162,ERS7985384,ERR12058673,CAAP2A,ERP126322,Klebsiella pneumoniae,strong,73,353501,443958,5584329,yes (477),ambiguous_bases,ST14,1,1,8,13,ybt 9; ICEKp3,183-2LV,-,0,-,0,-,0,-,0,-,wzi2,KL2 (KL30),aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA*,-,-,qnrB1.v2^,-,-,CatB4.v1;catII.2*;cmlA5,arr-2,sul2,-,-,dfrA14.v2*,OXA-1;OXA-10,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,-,-,-,ST14,1,6,1,1,1,1,1,5,11,6*,5,1,25,37,9,78,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CAAP2A,2019,NA,ST14,y,PICU/HDU
this study,42070_2#163,ERS7985230,ERR12058674,CAAI(Q,ERP126322,Klebsiella pneumoniae,strong,37,451030,779773,5414547,yes (339),ambiguous_bases,ST48,1,1,4,6,ybt 10; ICEKp4,481-4LV,-,0,-,0,-,0,-,0,-,wzi62,KL62,aac(3)-IIa.v1;strA.v1^;strB.v1,-,-,-,-,-,-,-,sul2^,-,-,-,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST48,2,5,2,2,7,1,10,32,12,193,39*,25,91,564*,135,25*,8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CAAI(Q,NA,NA,ST48,n,unknown
this study,42070_2#164,ERS7985385,ERR12058675,CAAPXY,ERP126322,Klebsiella pneumoniae,strong,41,469448,775986,5475714,yes (708),ambiguous_bases,ST48,1,1,7,12,ybt 10; ICEKp4,481-4LV,-,0,-,0,-,0,-,0,-,wzi62,KL62,aac(3)-IIa.v1;aadA2^;aph3-Ia.v1^;strA.v1^;strB.v1,-,-,-,-,mphA,catII.2*,-,sul1;sul2^,-,-,dfrA12,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST48,2,5,2,2,7,1,10,32,12,193,39*,25,91,564*,135,25*,8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CAAPXY,2019,NA,ST48,n,PICU/HDU
this study,42070_2#165,ERS7985231,ERR12058676,CAAGVG,ERP126322,Klebsiella pneumoniae,strong,37,469448,1409895,5414624,yes (340),ambiguous_bases,ST48,1,1,4,6,ybt 10; ICEKp4,481-4LV,-,0,-,0,-,0,-,0,-,wzi62,KL62,aac(3)-IIa.v1;strA.v1^;strB.v1,-,-,-,-,-,-,-,sul2^,-,-,-,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST48,2,5,2,2,7,1,10,32,12,193,39*,25,91,564*,135,25*,8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CAAGVG,2018,NA,ST48,y,PICU/HDU
this study,42070_2#166,ERS7985386,ERR12058677,CAAPDY,ERP126322,Klebsiella pneumoniae,strong,50,412481,1062440,5586705,yes (418),ambiguous_bases,ST14,1,1,8,13,ybt 9; ICEKp3,183-2LV,-,0,-,0,-,0,-,0,-,wzi2,KL2 (KL30),aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA*,-,-,qnrB1.v2^,-,-,CatB4.v1;catII.2*;cmlA5,arr-2,sul2,-,-,dfrA14.v2*,OXA-1;OXA-10,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,-,-,-,ST14,1,6,1,1,1,1,1,5,11,6*,5,1,25,37,9,78,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CAAPDY,2019,NA,ST14,y,PICU/HDU
this study,42070_2#168,ERS7985388,ERR12058679,CAAP3H,ERP126322,Klebsiella pneumoniae,strong,42,413517,813273,5445118,yes (757),ambiguous_bases,ST1207,1,1,7,11,ybt 10; ICEKp4,78,-,0,-,0,-,0,-,0,-,wzi123,KL136,aac(3)-IId^;aac(6')-Ib-cr.v2;strA.v1*;strB.v1*,-,-,qnrB1.v1,-,-,CatB4.v1,-,sul2,-,-,dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-1,-,-,-,-,-,-,ST1207,2,1,1,6,12,1,12,3,12,4,11,3,21,18,3,10,16,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CAAP3H,2019,NA,other,n,PICU/HDU
this study,42070_2#16,ERS7985351,ERR12058534,CAAF35,ERP126322,Klebsiella pneumoniae,strong,51,446886,1161962,5649097,yes (1500),ambiguous_bases,ST1552,0,1,8,13,-,0,-,0,-,0,-,0,-,0,-,wzi119,KL24,aac(3)-IIa.v1;aadA1.v1^;strA.v1^;strB.v1,-,-,qnrB1.v2^,-,-,catA1^,-,sul1;sul2,tet(A).v1,-,dfrA1.v2;dfrA14.v2*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST1552,2,1,2,1,3,25,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CAAF35,2018,NA,ST1552,u,unknown
this study,42070_2#170,ERS7985387,ERR12058681,CAAPB9,ERP126322,Klebsiella pneumoniae,strong,79,356509,926119,5524230,yes (1047),ambiguous_bases,ST1427,0,1,7,13,-,0,-,0,-,0,-,0,-,0,-,-,-,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1,-,-,qnrB1.v2^,-,-,CatB4.v1;catII.2*,-,sul2,-,-,dfrA14.v2*;dfrA30*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,aac(3)-IId*?-0%,fosA7*?-0%,ST1427,2,1,10,1,9,1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CAAPB9,2019,NA,other,y,CHATINKHA NURSERY
this study,42070_2#171,ERS7985233,ERR12058682,CAAGDL,ERP126322,Klebsiella pneumoniae,strong,21,1063575,1752531,5419473,yes (688),ambiguous_bases,ST4656,0,0,1,1,-,0,-,0,-,0,-,0,-,0,-,wzi24,"KL24 (KL54,KL55)",-,-,-,-,-,-,-,-,-,-,-,-,TEM-1D.v1^,-,-,-,-,SHV-1^,-,OmpK35-48%,-,-,-,-,ST4656,4,1,1,34,471,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CAAGDL,2018,NA,other,n,PAEDIATRIC SURGICAL WARD
this study,42070_2#172,ERS7985389,ERR12058683,CAAQ01,ERP126322,Klebsiella pneumoniae,strong,48,380606,818335,5586151,yes (673),ambiguous_bases,ST14,1,1,8,13,ybt 9; ICEKp3,183-2LV,-,0,-,0,-,0,-,0,-,wzi2,KL2 (KL30),aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA*,-,-,qnrB1.v2^,-,-,CatB4.v1;catII.2*;cmlA5,arr-2,sul2,-,-,dfrA14.v2*,OXA-1;OXA-10,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,-,-,-,ST14,1,6,1,1,1,1,1,5,11,6*,5,1,25,37,9,78,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CAAQ01,2019,NA,ST14,n,PAEDIATRIC SPECIAL CARE WARD
this study,42070_2#173,ERS7985235,ERR12058684,CAAGA8,ERP126322,Klebsiella pneumoniae,strong,49,422938,1269432,5647206,yes (1320),ambiguous_bases,ST1552,0,1,8,13,-,0,-,0,-,0,-,0,-,0,-,wzi119,KL24,aac(3)-IIa.v1;aadA1.v1^;strA.v1^;strB.v1,-,-,qnrB1.v2^,-,-,catA1^,-,sul1;sul2,tet(A).v1,-,dfrA1.v2;dfrA14.v2*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST1552,2,1,2,1,3,25,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CAAGA8,2018,NA,ST1552,n,PAEDIATRIC SURGICAL WARD
this study,42070_2#175,ERS7985234,ERR12058686,CAAGAR,ERP126322,Klebsiella pneumoniae,strong,51,422938,1157266,5648293,yes (966),ambiguous_bases,ST1552,0,1,8,13,-,0,-,0,-,0,-,0,-,0,-,wzi119,KL24,aac(3)-IIa.v1;aadA1.v1^;strA.v1^;strB.v1,-,-,qnrB1.v2^,-,-,catA1^,-,sul1;sul2,tet(A).v1,-,dfrA1.v2;dfrA14.v2*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST1552,2,1,2,1,3,25,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CAAGAR,2018,NA,ST1552,n,PAEDIATRIC SURGICAL WARD
this study,42070_2#176,ERS7985390,ERR12058687,CHF104,ERP126322,Klebsiella pneumoniae,strong,62,345921,957829,5516803,yes (813),ambiguous_bases,ST15,1,1,8,15,ybt 10; ICEKp4,28-1LV,-,0,-,0,-,0,-,0,-,wzi151,KL48,aac(3)-IIa.v1;aac(6')-Ib-cr.v2;aadA^;strA.v1*;strB.v1*,-,-,qnrB2.v1^,-,-,CatB4.v1*,-,sul1;sul2,tet(D),-,dfrA15.v2,OXA-1;SCO-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,GyrA-83F;GyrA-87A;ParC-80I,-,-,ST15,1,1,1,1,1,1,1,16,12,4,3,3,35*,50,3,10,23,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CHF104,2019,NA,ST15,n,unknown
this study,42070_2#177,ERS7985460,ERR12058688,BKQYWK,ERP126322,Klebsiella pneumoniae,strong,62,345934,584517,5615586,yes (857),ambiguous_bases,ST15,1,1,8,15,ybt 10; ICEKp4,28-1LV,-,0,-,0,-,0,-,0,-,wzi151,KL48,aac(3)-IIa.v1;aac(6')-Ib-cr.v2;aadA^;strA.v1*;strB.v1*,-,-,qnrB2.v1^,-,-,CatB4.v1*,-,sul1;sul2,tet(D),-,dfrA15.v2,OXA-1;SCO-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,GyrA-83F;GyrA-87A;ParC-80I,-,-,ST15,1,1,1,1,1,1,1,16,12,4,3,3,35*,50,3,10,23,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BKQYWK,NA,NA,ST15,n,unknown
this study,42070_2#178,ERS7985557,ERR12058689,CAA1EZ,ERP126322,Klebsiella quasipneumoniae subsp. quasipneumoniae,strong,94,150000,607649,5456073,yes (84),ambiguous_bases,ST1040-1LV,0,1,9,13,-,0,-,0,-,0,-,0,-,0,-,wzi42,KL42,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^,-,-,qnrS1,-,mphA,CatB4.v1,-,sul1;sul2,tet(C),-,dfrA12,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,OKP-A-5*,-,OmpK35-0%,-,-,-,-,ST1040-1LV,69,19,90,20,125,18,148*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CAA1EZ,2017,NA,other,n,BURNS UNITS
this study,42070_2#179,ERS7985461,ERR12058690,BKQYVX,ERP126322,Klebsiella pneumoniae,strong,73,314284,850415,5510014,yes (682),ambiguous_bases,ST101,0,1,6,8,-,0,-,0,-,0,-,0,-,0,-,wzi137,KL17,aac(3)-IId^;strA.v1*;strB.v1*,-,-,qnrS1,-,-,-,-,sul2,tet(D),-,dfrA14.v2*,-,-,CTX-M-55,-,-,SHV-1^,-,-,-,-,TEM-141*?-0%,-,ST101,2,6,1,5,4,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BKQYVX,2017,NA,ST101,y,CHATINKHA NURSERY
this study,42070_2#17,ERS7985441,ERR12058535,11449,ERP126322,Klebsiella pneumoniae,strong,105,298924,799076,6155768,yes (1430),ambiguous_bases,ST14,3,0,5,8,-,0,-,0,iuc 1,1-1LV,-,0,-,0,rmpA2_8-60%,wzi2,KL2 (KL30),aac(3)-IIa.v1;aadA*;sat-2;strB.v1,-,-,-,-,-,catA1*,-,sul2,-,-,dfrA1.v1,TEM-1D.v1^,-,-,-,-,SHV-28.v1^,-,-,-,-,strA.v1?-0%;sul1?-0%,-,ST14,1,6,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1*,1,1,-,-,-,-,-,-,-,-,11449,1998,NA,ST14,n,unknown
this study,42070_2#180,ERS7985559,ERR12058691,BKQYSL,ERP126322,Klebsiella pneumoniae,strong,73,224323,549347,5510599,yes (932),ambiguous_bases,ST101,0,1,6,8,-,0,-,0,-,0,-,0,-,0,-,wzi137,KL17,aac(3)-IId^;strA.v1*;strB.v1*,-,-,qnrS1,-,-,-,-,sul2,tet(D),-,dfrA14.v2*,-,-,CTX-M-55,-,-,SHV-1^,-,-,-,-,TEM-141*?-0%,-,ST101,2,6,1,5,4,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BKQYSL,2016,NA,ST101,y,CHATINKHA NURSERY
this study,42070_2#181,ERS7985462,ERR12058692,BHAKTT,ERP126322,Klebsiella pneumoniae,strong,63,371802,588474,5579872,yes (942),ambiguous_bases,ST39,1,1,7,11,ybt 14; ICEKp5,327-1LV,-,0,-,0,-,0,-,0,-,wzi2,KL2 (KL30),aac(3)-IId^;aadA*,-,-,-,-,-,catII.2*;cmlA5,arr-2,sul2,-,-,dfrA14.v2*;dfrA30*,OXA-10;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-1^,-,-,-,-,-,-,ST39,2,1,2,4,9,1,14,4,4,31*,4,1,114,25,2,4,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BHAKTT,2017,NA,ST39,n,4A FEMALE MEDICAL WARD
this study,42070_2#182,ERS7985558,ERR12058693,BKQYR6,ERP126322,Klebsiella pneumoniae,strong,70,314279,1264764,5505473,yes (681),ambiguous_bases,ST101,0,1,7,9,-,0,-,0,-,0,-,0,-,0,-,wzi137,KL17,aac(3)-IId^;strA.v1*;strB.v1*,-,-,qnrS1,-,-,-,-,sul2,tet(D),-,dfrA14.v2*,TEM-1D.v1^,-,CTX-M-55,-,-,SHV-1^,-,-,-,-,-,TEM-105?-0%,ST101,2,6,1,5,4,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BKQYR6,2016,NA,ST101,y,CHATINKHA NURSERY
this study,42070_2#183,ERS7985463,ERR12058694,CAA4WY,ERP126322,Klebsiella pneumoniae,strong,34,447233,947822,5460520,yes (80),ambiguous_bases,ST29,1,1,8,12,ybt 14; ICEKp5,151,-,0,-,0,-,0,-,0,-,wzi19,KL19,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1^,-,-,qnrB1.v2^,-,-,CatB4.v1,-,sul2,tet(A).v1,-,dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-187,-,-,-,-,-,-,ST29,2,3,2,2,6,4,4,4,4,5,4,1,69,62,2,4,4,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CAA4WY,2017,NA,ST29,y,CHATINKHA NURSERY
this study,42070_2#184,ERS7985561,ERR12058695,BKQYJ7,ERP126322,Klebsiella pneumoniae,strong,75,314279,643866,5510018,yes (700),ambiguous_bases,ST101,0,1,6,8,-,0,-,0,-,0,-,0,-,0,-,wzi137,KL17,aac(3)-IId^;strA.v1*;strB.v1*,-,-,qnrS1,-,-,-,-,sul2,tet(D),-,dfrA14.v2*,-,-,CTX-M-55,-,-,SHV-1^,-,-,-,-,TEM-141*?-0%,-,ST101,2,6,1,5,4,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BKQYJ7,2016,NA,ST101,y,CHATINKHA NURSERY
this study,42070_2#185,ERS7985464,ERR12058696,CAA4X5,ERP126322,Klebsiella pneumoniae,strong,39,286131,492310,5677117,yes (341),ambiguous_bases,ST39,1,1,7,11,ybt 16; ICEKp12,294,-,0,-,0,-,0,-,0,-,wzi2,KL2 (KL30),aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1,-,-,-,-,-,CatB4.v1,-,sul2,tet(A).v1,-,dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST39,2,1,2,4,9,1,14,6,15,5,4,11,286,304,2,11,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25*,-,-,-,-,-,CAA4X5,2017,NA,ST39,y,CHATINKHA NURSERY
this study,42070_2#186,ERS7985562,ERR12058697,BKQYIT,ERP126322,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,65,328437,1292516,5588431,yes (554),ambiguous_bases,ST334,0,1,7,9,-,0,-,0,-,0,-,0,-,0,-,wzi337,KL103,aac(3)-IId^;strA.v1^;strB.v1*,-,-,qnrB1.v1,-,-,catA1*,-,sul2,tet(D),-,dfrA14.v2*,-,-,SHV-12,-,-,OKP-B-17?,238S;240K;35Q,-,-,-,TEM-141?-0%,TEM-112?-41%,ST334,18,22,18,22,25,37,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BKQYIT,2016,NA,other,y,CHATINKHA NURSERY
this study,42070_2#187,ERS7985465,ERR12058698,CAA4X6,ERP126322,Klebsiella pneumoniae,strong,41,327481,818519,5678570,yes (570),ambiguous_bases,ST39,1,1,7,11,ybt 16; ICEKp12,294,-,0,-,0,-,0,-,0,-,wzi2,KL2 (KL30),aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1,-,-,-,-,-,CatB4.v1,-,sul2,tet(A).v1,-,dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST39,2,1,2,4,9,1,14,6,15,5,4,11,286,304,2,11,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25*,-,-,-,-,-,CAA4X6,2017,NA,ST39,y,CHATINKHA NURSERY
this study,42070_2#188,ERS7985560,ERR12058699,BHAKYG,ERP126322,Klebsiella pneumoniae,strong,36,421686,766496,5310691,yes (572),ambiguous_bases,ST29,1,1,7,11,ybt 14; ICEKp5,151-1LV,-,0,-,0,-,0,-,0,-,wzi19,KL19,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1,-,-,qnrB1.v2^,-,-,CatB4.v1,-,sul2,-,-,dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-187,-,-,-,-,-,-,ST29,2,3,2,2,6,4,4,4,4,5,4,1,69*,62,2,4,4,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BHAKYG,2016,NA,ST29,n,3B MALE MEDICAL WARD
this study,42070_2#189,ERS7985466,ERR12058700,CAA4X8,ERP126322,Klebsiella pneumoniae,strong,42,327481,611327,5677677,yes (340),ambiguous_bases,ST39,1,1,7,11,ybt 16; ICEKp12,294,-,0,-,0,-,0,-,0,-,wzi2,KL2 (KL30),aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1,-,-,-,-,-,CatB4.v1,-,sul2,tet(A).v1,-,dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST39,2,1,2,4,9,1,14,6,15,5,4,11,286,304,2,11,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25*,-,-,-,-,-,CAA4X8,2017,NA,ST39,y,CHATINKHA NURSERY
this study,42070_2#18,ERS7985516,ERR12058536,BKQRCA,ERP126322,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,89,364182,791962,5505671,yes (4),ambiguous_bases,ST1224,0,1,6,7,-,0,-,0,-,0,-,0,-,0,-,-,-,aac(3)-IIa.v1^;strB.v1,-,-,qnrB1.v2^,-,-,-,-,sul2,tet(A).v1,-,dfrA14.v2*,-,-,CTX-M-15,-,-,OKP-B-2*,-,-,-,-,-,TEM-104?-66%;TEM-105?-0%;strA.v1*?-66%,ST1224,18,67,26,63,142,38,169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BKQRCA,2016,NA,other,n,PAEDIATRIC NURSERY
this study,42070_2#191,ERS7985467,ERR12058702,CAA4YE,ERP126322,Klebsiella pneumoniae,strong,44,326635,611335,5679719,yes (288),ambiguous_bases,ST39,1,1,7,11,ybt 16; ICEKp12,294,-,0,-,0,-,0,-,0,-,wzi2,KL2 (KL30),aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1,-,-,-,-,-,CatB4.v1,-,sul2,tet(A).v1,-,dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST39,2,1,2,4,9,1,14,6,15,5,4,11,286,304,2,11,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25*,-,-,-,-,-,CAA4YE,2017,NA,ST39,y,CHATINKHA NURSERY
this study,42070_2#192,ERS7985564,ERR12058703,CAA24Y,ERP126322,Klebsiella pneumoniae,strong,77,365092,754805,5749901,yes (913),ambiguous_bases,ST14,0,1,6,7,-,0,-,0,-,0,-,0,-,0,-,wzi2,KL2 (KL30),aac(3)-IIa.v1;aac(3)-IId^,-,-,-,-,-,catII.2*,-,sul2,-,-,dfrA30*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,-,-,-,ST14,1,6,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CAA24Y,2017,NA,ST14,n,CHATINKHA NURSERY
