study_accession	none_found	chosen_pmid	chosen_pmcid	chosen_doi	chosen_found_via	find_confidence	verified	sources_agreeing	coverage_estimate	coverage_fraction	shared_accession	umbrella	data_reuse_only	n_candidates	chosen_title
PRJNA316457	True					high		0			False	False	True	1	
PRJNA1051122	False	41156746	PMC12566427	10.3390/microorganisms13102286	europepmc_accession	high	True	1	4.0	2.0	False	False	False	1	Genomic Characterization of Carbapenem-Resistant &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; ST1440 and &lt;i&gt;Serratia marcescens&lt;/i&gt; Isolates from a COVID-19 ICU Outbreak in Ecuador.
PRJNA607402	False	32291303	PMC7157821	10.1128/mbio.00603-20	europepmc_accession	high	True	1	2700.0	1350.0	False	False	False	1	Global Trends in Proteome Remodeling of the Outer Membrane Modulate Antimicrobial Permeability in Klebsiella pneumoniae.
PRJNA627626	False	32429141	PMC7291057	10.3390/v12050544	europepmc_accession	medium	True	1	2.0	1.0	False	False	False	1	Discovery of Three Toxic Proteins of <i>Klebsiella</i> Phage fHe-Kpn01.
PRJEB52722	False			10.1101/2022.05.12.491637	europepmc_accession	high	True	1			False	False	False	3	Evaluation of metagenomic, 16S rRNA gene and ultra-plexed PCR-based sequencing approaches for profiling antimicrobial resistance gene and bacterial taxonomic composition of polymicrobial samples
PRJNA728680	False	37910603	PMC10821315	10.1126/scitranslmed.abo2750	europepmc_accession	high		1	11.0	5.5	False	False	False	12	Fecal microbiota transplantation promotes reduction of antimicrobial resistance by strain replacement.
PRJNA521445	True					low		0			False	False	False	0	
PRJEB51459	False	35790590	PMC9255504	10.1007/s10096-022-04470-z	europepmc_accession	high	True	1	2.0	1.0	False	False	False	1	Brief report: community-acquired Friedlander's pneumonia and pulmonary metastatic Klebsiella pneumoniae infection caused by hypervirulent ST23 in the Netherlands.
PRJEB53051	False	36296310	PMC9607333	10.3390/microorganisms10102034	europepmc_accession	high	True	1	2.0	1.0	False	False	False	1	Molecular Epidemiology of <i>mcr-1</i>-Positive <i>Escherichia coli</i> and <i>Klebsiella pneumoniae</i> Isolates: Results from Russian Sentinel Surveillance (2013-2018).
PRJEB24576	False	30298131	PMC6161680	10.3389/fmed.2018.00265	europepmc_accession	high	True	1	3.0	1.5	False	False	False	2	A Fatal Bacteremia Caused by Hypermucousviscous KPC-2 Producing Extensively Drug-Resistant K64-ST11 <i>Klebsiella pneumoniae</i> in Brazil.
PRJNA647060	True					low		0			False	False	False	0	
PRJNA646204	True					low		0			False	False	False	0	
PRJEB58827	False	36830261	PMC9952161	10.3390/antibiotics12020350	europepmc_accession,ncbi_bioproject	high	False	2	34.0	17.0	False	False	False	1	Whole-Genome Sequencing Snapshot of Clinically Relevant Carbapenem-Resistant Gram-Negative Bacteria from Wastewater in Serbia.
PRJEB42295	True					low		0			False	False	False	0	
PRJEB21765	True					high		0			False	False	True	1	
PRJNA871216	False	40207193	PMC11980844	10.1371/journal.pwat.0000181	europepmc_accession	high	True	1	2.0	1.0	False	False	False	1	Microbial and physicochemical water quality changes within distribution and premise plumbing systems during a chlorine conversion.
PRJDB9614	False	32929493		10.1093/jac/dkaa387	ncbi_bioproject	high		1	2.0	1.0	False	False	False	1	Genomic features of plasmids coding for KPC-2, NDM-5 or OXA-48 carbapenemases in Enterobacteriaceae from Malawi.
PRJEB17631	True					low		0			False	False	False	3	
PRJNA1034027	False	38925648		10.1093/jambio/lxae155	ncbi_bioproject	high		1	2.0	1.0	False	False	False	1	Evaluation of phenotypic and genotypic methods for the identification and characterization of bacterial isolates recovered from catheter-associated urinary tract infections.
PRJEB34867	False	32568057	PMC7323517	10.3201/eid2607.191490	europepmc_accession	high	True	1	2.0	1.0	False	False	False	1	Carbapenem Resistance Conferred by OXA-48 in K2-ST86 Hypervirulent Klebsiella pneumoniae, France.
PRJEB41279	True					low		0	2.0	1.0	False	False	False	0	
PRJNA749815	False	35467408	PMC9241866	10.1128/spectrum.02624-21	europepmc_accession	medium	True	1	2.0	1.0	False	False	False	1	Comparison of Two Distinct Subpopulations of Klebsiella pneumoniae ST16 Co-Occurring in a Single Patient.
PRJNA819844	False	35844192	PMC9359173	10.1080/22221751.2022.2103454	europepmc_accession	medium	True	1	2.0	1.0	False	False	False	1	Prevalence of hypervirulent and carbapenem-resistant <i>Klebsiella pneumoniae</i> under divergent evolutionary patterns.
PRJDB14713	True					low		0			False	False	False	0	
PRJNA749600	False	34653368	PMC8800145	10.1016/j.cels.2021.09.011	europepmc_accession	medium		1			False	False	False	1	Functional attractors in microbial community assembly.
PRJNA864766	True					low		0			False	False	False	0	
PRJNA833080	False	41817438	PMC13064125	10.1128/mra.01114-25	europepmc_accession	medium	False	1	109.0	54.5	False	False	False	2	Draft genome sequences of 109 gut bacteria isolated from colonoscopy samples of individuals with and without cystic fibrosis.
PRJEB50806	True					low		0			False	False	False	0	
PRJEB8771	False	30840764	PMC6938978	10.1093/cid/ciz174	europepmc_accession	medium	False	1	2.0	1.0	False	False	False	1	A One Health Study of the Genetic Relatedness of Klebsiella pneumoniae and Their Mobile Elements in the East of England.
PRJNA632581	False	35336083	PMC8949579	10.3390/microorganisms10030507	europepmc_accession	high	True	1	8.0	4.0	False	False	False	1	Whole Genome Sequence Analysis of Multidrug Resistant <i>Escherichia coli</i> and <i>Klebsiella pneumoniae</i> Strains in Kuwait.
PRJNA687492	False	34081101	PMC8358223	10.1093/gbe/evab127	europepmc_accession,europepmc_title	high	False	2	96.0	48.0	False	False	False	1	Genome-Inferred Correspondence between Phylogeny and Metabolic Traits in the Wild Drosophila Gut Microbiome.
PRJNA684628	True					low		0			False	False	False	0	
PRJEB60446	True					low		0			False	False	False	0	
PRJNA719938	False	33499011	PMC7908357	10.3390/ijerph18030937	ncbi_bioproject	high	False	1	2.0	1.0	False	False	False	1	Characterization of Extended-Spectrum Beta-Lactamase-Producing <i>Escherichia coli</i> Isolates from Jurong Lake, Singapore with Whole-Genome-Sequencing.
PRJNA719112	False	34077733	PMC8283688	10.1016/j.celrep.2021.109196	europepmc_accession	high	True	1	2.0	1.0	False	False	False	1	An acquired acyltransferase promotes Klebsiella pneumoniae ST258 respiratory infection.
PRJNA1064853	False	38589623	PMC11001922	10.1038/s41598-024-58963-2	europepmc_accession	high	False	1	2.0	1.0	False	False	False	1	Automating the Illumina DNA library preparation kit for whole genome sequencing applications on the flowbot ONE liquid handler robot.
PRJNA593956	True					high		0			False	False	False	10	
PRJNA593828	True					low		0			False	False	False	0	
PRJEB32059	True					low		0			False	False	True	4	
PRJEB36448	True					low		0			False	False	False	0	
PRJNA545765	True					low		0			False	False	False	0	
PRJEB61973	False	38862602	PMC11222139	10.1038/s41564-024-01710-0	europepmc_accession	high	True	1	2.0	1.0	False	False	False	1	Klebsiella oxytoca inhibits Salmonella infection through multiple microbiota-context-dependent mechanisms.
PRJNA667843	False	33272354	PMC7716400	10.2807/1560-7917.es.2020.25.48.2001779	europepmc_accession,europepmc_title,ncbi_bioproject	high	True	3	2.0	1.0	False	False	False	1	Extremely drug-resistant NDM-9-producing ST147 <i>Klebsiella pneumoniae</i> causing infections in Italy, May 2020.
PRJNA254477	True					low	False	1	1.0	0.5	True	False	False	3	
PRJNA799011	False	37156077	PMC10189387	10.1016/j.psj.2023.102712	europepmc_accession	low	True	1			False	False	False	3	Survey of clinical and commensal Escherichia coli from commercial broilers and turkeys, with emphasis on high-risk clones using APECTyper.
PRJEB60070	False	37107147	PMC10135176	10.3390/antibiotics12040785	europepmc_accession	high	False	1	2.0	1.0	False	False	False	1	In Vitro Activity of Cefiderocol on Multiresistant Bacterial Strains and Genomic Analysis of Two Cefiderocol Resistant Strains.
PRJNA353060,PRJNA246471	True					low		0			True	False	True	1	
PRJNA494608	False	32019832	PMC7002114	10.1128/msystems.00620-19	europepmc_accession	medium	True	1			False	False	False	4	Identification of Clostridioides difficile-Inhibiting Gut Commensals Using Culturomics, Phenotyping, and Combinatorial Community Assembly.
PRJDB15972	True					low		0			False	False	False	0	
PRJNA246471,PRJNA353060	True					low		0			True	False	True	1	
PRJNA393721	True					low		0			False	False	False	0	
PRJNA392935	False	29021151	PMC5703817	10.1128/jcm.01069-17	europepmc_accession	high		1	3.0	1.5	False	False	False	1	Rapid Nanopore Sequencing of Plasmids and Resistance Gene Detection in Clinical Isolates.
PRJDB9124	True					low		0	2.0	1.0	False	False	False	0	
PRJEB14648	True					low		0			False	False	False	0	
PRJNA596289	True					low	False	1	510.0	255.0	False	False	False	5	
PRJNA793885	False	37988619	PMC10754042	10.1021/acssynbio.3c00414	europepmc_accession	medium		1	2.0	1.0	False	False	False	1	Synthetic Biology Toolbox for Nitrogen-Fixing Soil Microbes.
PRJEB35623	True					high		0			False	False	False	8	
PRJNA543860	False	32299877	PMC7163015	10.1128/mra.00170-20	europepmc_accession	high	True	1	11.0	5.5	False	False	False	1	Draft Genome Sequences of 11 Bacterial Strains Isolated from Commercial Corn-Based Poultry Feed.
PRJNA383436	False	31980604	PMC6981164	10.1038/s41467-019-14139-5	europepmc_accession,europepmc_secondary	medium	False	2	2.0	1.0	False	False	False	2	Integrating multiple genomic technologies to investigate an outbreak of carbapenemase-producing Enterobacter hormaechei.
PRJDB7066	True					low		0			False	False	False	0	
PRJNA419722	True					low		0			False	False	False	0	
PRJEB60429	False	40511474	PMC12164281	10.2807/1560-7917.es.2025.30.23.2400590	europepmc_accession	low	True	1			False	False	False	11	Beyond patient contact: combined short- and long read sequencing reveals continuous occurrence of genomically related carbapenemase-producing Enterobacterales and plasmid mobility in a hospital, Germany, 2018 to 2021.
PRJNA530794	False	31455657	PMC6712402	10.1128/mbio.01977-19	europepmc_accession	high	True	1	2.0	1.0	False	False	False	10	Comparative Genomics of Antibiotic-Resistant Uropathogens Implicates Three Routes for Recurrence of Urinary Tract Infections.
PRJNA738811	False	34228551	PMC8370223	10.1128/aac.00890-21	europepmc_accession	medium		1	2.0	1.0	False	False	False	1	KPC-Mediated Resistance to Ceftazidime-Avibactam and Collateral Effects in Klebsiella pneumoniae.
PRJEB75744	True					low		0			False	False	False	0	
PRJNA419295	False	29661874	PMC6021667	10.1128/aac.02457-17	europepmc_accession	high		1	2.0	1.0	False	False	False	1	Characterization of Extensively Drug-Resistant or Pandrug-Resistant Sequence Type 147 and 101 OXA-48-Producing Klebsiella pneumoniae Causing Bloodstream Infections in Patients in an Intensive Care Unit.
PRJNA788123	True					low		0			False	False	False	10	
PRJNA475291	False	31117026	PMC6589436	10.1128/msystems.00202-19	europepmc_secondary,ncbi_bioproject	high	True	2	2.0	1.0	False	False	False	1	Network Integrative Genomic and Transcriptomic Analysis of Carbapenem-Resistant Klebsiella pneumoniae Strains Identifies Genes for Antibiotic Resistance and Virulence.
PRJNA687279	True					low		0			False	False	False	0	
PRJNA549171	True					low		0	2.0	1.0	False	False	False	0	
PRJDB7545	False	37277351	PMC10241881	10.1038/s41467-023-39029-9	europepmc_accession	high	False	1	2.0	1.0	False	False	False	1	Bacteriophage therapy against pathological Klebsiella pneumoniae ameliorates the course of primary sclerosing cholangitis.
PRJDB4694	True					high		0			False	False	False	10	
PRJNA401330	False	30461373	PMC6321870	10.1099/mgen.0.000233	europepmc_accession	high	True	1	2.0	1.0	False	False	False	1	The resistomes of six carbapenem-resistant pathogens - a critical genotype-phenotype analysis.
PRJNA970235	True					low		0			False	False	False	0	
PRJNA1123890	True					low		0			False	False	False	0	
PRJNA530580	False	23843485	PMC3754640	10.1128/jcm.00984-13	ncbi_bioproject	medium		1			True	False	False	2	Predictive diagnostics for Escherichia coli infections based on the clonal association of antimicrobial resistance and clinical outcome.
PRJNA398291	False	29774858	PMC6004858	10.3201/eid2406.171648	europepmc_accession,europepmc_title	high	True	2	170.0	85.0	False	False	False	1	Genomic Epidemiology of Global Carbapenemase-Producing Enterobacter spp., 2008-2014.
PRJEB71895	False	38750030	PMC11096173	10.1038/s41467-024-48219-y	europepmc_accession	high	True	1	2.0	1.0	False	False	False	1	An antiplasmid system drives antibiotic resistance gene integration in carbapenemase-producing Escherichia coli lineages.
PRJNA564977	False	32192451	PMC7083060	10.1186/s12879-020-04966-z	europepmc_accession	high	True	1	2.0	1.0	False	False	False	1	Unusual accumulation of a wide array of antimicrobial resistance mechanisms in a patient with cytomegalovirus-associated hemophagocytic lymphohistiocytosis: a case report.
PRJNA411885	True					low		0			False	False	False	0	
PRJNA971755	False	40992213	PMC12492035	10.1016/j.ebiom.2025.105944	europepmc_accession	high	True	1	2.0	1.0	False	False	False	1	Transposition of insertion sequence element from KPC plasmid enhances intracellular survival of Klebsiella pneumoniae.
PRJNA713498	False	34956131	PMC8692987	10.3389/fmicb.2021.770813	europepmc_accession	high	True	1	2.0	1.0	False	False	False	1	Whole-Genome Sequencing of Gram-Negative Bacteria Isolated From Bovine Mastitis and Raw Milk: The First Emergence of Colistin <i>mcr</i>-<i>10</i> and Fosfomycin <i>fosA5</i> Resistance Genes in <i>Klebsiella pneumoniae</i> in Middle East.
PRJEB8721	True					low		0			False	False	True	3	
PRJNA689691	True					low		0			False	False	False	0	
PRJNA780904	False	35984997		10.1089/mdr.2021.0466	ncbi_bioproject	high		1	2.0	1.0	False	False	False	1	Emergence of Urease-Negative <i>Klebsiella pneumoniae</i> ST340 Carrying an IncP6 Plasmid-Mediated <i>bla</i><sub>KPC-2</sub> Gene.
PRJEB75816	False	41588103	PMC12946264	10.1038/s43856-026-01402-2	europepmc_accession	low	True	1	2.0	1.0	False	False	False	1	Genomic characterization and sub-clustering of Escherichia coli clonal complex 38 reveal host associated genetic markers.
PRJNA1115910	False	39567391	PMC11579175	10.1007/s00248-024-02459-z	europepmc_accession	high	True	1	2.0	1.0	False	False	False	1	Wild-Type Domestication: Loss of Intrinsic Metabolic Traits Concealed by Culture in Rich Media.
PRJEB10263	True					low		0			False	False	False	0	
PRJEB38442	False	35103490	PMC8805638	10.1128/msystems.01019-21	europepmc_accession	high	True	1	2.0	1.0	False	False	False	1	Dissemination Routes of Carbapenem and Pan-Aminoglycoside Resistance Mechanisms in Hospital and Urban Wastewater Canalizations of Ghana.
PRJNA1103093	False		PMC12937352		europepmc_accession	medium	True	1	2.0	1.0	False	False	False	1	Emergence of Polymyxin Resistance Driven by a PhoQ Mutation in KPC-2-Producing Klebsiella pneumoniae
PRJNA974066	False	38598612	PMC11634388	10.1126/scitranslmed.adk8222	europepmc_accession	high		1			False	False	False	1	Contribution of the patient microbiome to surgical site infection and antibiotic prophylaxis failure in spine surgery.
PRJNA1101017	True					low		0			False	False	False	0	
PRJNA770882	True					low		0			False	False	False	0	
PRJNA436343	False	30533912	PMC6256504	10.1128/mra.01057-18	europepmc_secondary	high	True	1	2.0	1.0	False	False	False	1	Draft Genome Sequences of Two Carbapenemase-Producing Klebsiella pneumoniae Strains Isolated from Blood Cultures.
PRJNA234232	True					high		0			False	False	False	10	
PRJNA234233	True					high		0			False	False	False	10	
PRJNA234231	True					high		0			False	False	False	10	
PRJNA234242	True					high		0			False	False	False	10	
PRJNA234234	True					high		0			False	False	True	10	
PRJNA234235	True					high		0			False	False	False	10	
PRJNA234236	True					high		0			False	False	True	10	
PRJNA234239	True					high		0			False	False	True	10	
PRJNA234240	True					high		0			False	False	True	10	
PRJNA234241	True					high		0			False	False	False	10	
PRJNA234250	True					high		0			False	False	True	10	
PRJNA234243	True					low		0			False	False	False	10	
PRJNA234244	True					high		0			False	False	True	10	
PRJNA234245	True					high		0			False	False	True	10	
PRJNA234249	True					low		0			False	False	False	10	
PRJNA234251	True					high		0			False	False	True	10	
PRJNA234258	True					high		0			False	False	True	10	
PRJNA234259	True					high		0			False	False	True	10	
PRJNA234260	True					high		0			False	False	True	10	
PRJNA234229	True					high		0			False	False	True	10	
PRJNA212643	True					low		0			False	False	False	0	
PRJNA212649	True					low		0			False	False	False	0	
PRJNA234230	True					high		0			False	False	True	10	
PRJNA265245	True					low		0			False	False	False	0	
PRJNA234228	True					high		0			False	False	True	10	
PRJNA265244	True					low		0			False	False	False	0	
PRJNA234222	True					high		0			False	False	True	10	
PRJNA564369	True					low		0			False	False	False	0	
PRJNA265234	True					low		0			False	False	False	0	
PRJNA265235	True					low		0			False	False	False	0	
PRJNA265236	True					low		0			False	False	False	0	
PRJNA265237	True					low		0			False	False	False	0	
PRJNA265240	True					low		0			False	False	False	0	
PRJNA265241	True					low		0			False	False	False	0	
PRJNA265242	True					low		0			False	False	False	0	
PRJNA265243	True					low		0			False	False	False	0	
PRJNA265246	True					low		0			False	False	False	0	
PRJNA234227	True					high		0			False	False	True	10	
PRJNA265247	True					low		0			False	False	False	0	
PRJNA265248	True					low		0			False	False	False	0	
PRJNA234264	True					high		0			False	False	True	10	
PRJNA234263	True					high		0			False	False	True	10	
PRJNA234262	True					high		0			False	False	True	10	
PRJNA234261	True					high		0			False	False	True	10	
PRJNA234223	True					high		0			False	False	True	10	
PRJNA234224	True					high		0			False	False	True	10	
PRJNA234225	True					high		0			False	False	True	10	
PRJNA234226	True					high		0			False	False	True	10	
PRJNA634081	True					low		0			False	False	False	0	
PRJNA201951	True					high		0			False	False	True	10	
PRJNA555206	True					low		0			False	False	True	2	
PRJNA587430	True					low		0			False	False	False	0	
PRJNA587434	True					low		0			False	False	False	0	
PRJNA553808	True					low		0			False	False	False	0	
PRJNA553055	False	32021334	PMC6982529	10.2147/idr.s240404	europepmc_secondary	medium	True	1	1.0	1.0	False	False	False	3	Hybrid Genome Assembly and Annotation of a Pandrug-Resistant <i>Klebsiella pneumoniae</i> Strain Using Nanopore and Illumina Sequencing.
PRJNA265231	True					low		0			False	False	False	0	
PRJNA545744	True					low		0			False	False	False	0	
PRJNA201950	True					high		0			False	False	True	10	
PRJNA531554	True					low		0			False	False	True	2	
PRJNA531724	True					low		0			False	False	False	0	
PRJNA201947	True					high		0			False	False	True	10	
PRJNA201946	True					high		0			False	False	True	10	
PRJNA201945	True					low		0			False	False	True	10	
PRJNA534097	True					low		0			False	False	False	0	
PRJNA542320	False	31700190	PMC7250008	10.1038/s41591-019-0640-y	europepmc_accession,ncbi_bioproject	high		2			False	False	False	2	Preventing dysbiosis of the neonatal mouse intestinal microbiome protects against late-onset sepsis.
PRJNA201944	True					low		0			False	False	True	10	
PRJNA543187	True					high		0			False	False	True	1	
PRJDB9227	False	32571830	PMC7449151	10.1128/aac.00882-20	europepmc_accession	high		1	1.0	1.0	False	False	False	1	First Report of Foodborne Klebsiella pneumoniae Coharboring <i>bla</i><sub>VIM-1</sub>, <i>bla</i><sub>NDM-1</sub>, and <i>mcr-9</i>.
PRJNA544642	True					low		0			False	False	False	0	
PRJNA545001	True					low		0			False	False	False	0	
PRJNA545745	True					low		0			False	False	False	0	
PRJNA552487	True					low		0			False	False	False	0	
PRJNA545764	True					high		0			False	False	False	0	
PRJNA587433	True					low		0			False	False	False	0	
PRJNA587429	True					low		0			False	False	False	0	
PRJNA555326	False	31658962	PMC6985746	10.1128/aac.01466-19	europepmc_title,ncbi_bioproject	high		2	3.0	3.0	False	False	False	1	Simultaneous Infection with <i>Enterobacteriaceae</i> and Pseudomonas aeruginosa Harboring Multiple Carbapenemases in a Returning Traveler Colonized with Candida auris.
PRJNA587424	True					low		0			False	False	False	0	
PRJNA197002	True					low		0			False	False	False	0	
PRJNA195754	True					low		0			False	False	False	0	
PRJNA557206	True					high		0			False	False	True	1	
PRJNA193169	True					low		1	1.0	1.0	True	False	False	1	
PRJNA193168	True					low		0			False	False	False	1	
PRJNA193167	True					low		0			False	False	True	1	
PRJNA193165	False	24913165	PMC4136011	10.1128/aac.00125-14	ncbi_bioproject	medium		1			False	False	False	1	Population structure of KPC-producing Klebsiella pneumoniae isolates from midwestern U.S. hospitals.
PRJNA193164	True					low		0			False	False	True	1	
PRJNA193163	True					low		0			False	False	False	0	
PRJNA562727	True					low		0			False	False	False	0	
PRJNA193162	True					low		0			False	False	True	1	
PRJDB8047	False	31666316	PMC6821933	10.1128/msphere.00736-19	ncbi_bioproject	high	False	1	1.0	1.0	False	False	False	1	IMP-68, a Novel IMP-Type Metallo-β-Lactamase in Imipenem-Susceptible Klebsiella pneumoniae.
PRJNA198783	False	25232178	PMC4203314	10.1126/scitranslmed.3009845	ncbi_bioproject	high		1			False	False	False	1	Single-molecule sequencing to track plasmid diversity of hospital-associated carbapenemase-producing Enterobacteriaceae.
PRJNA193161	True					low		0			False	False	False	0	
PRJNA193160	True					low		0			False	False	False	0	
PRJNA187326	True					low		0			False	False	False	0	
PRJNA187325	True					low		1			False	False	False	1	
PRJNA576510	False	32372050	PMC7368043	10.1038/s41396-020-0666-7	europepmc_accession,europepmc_title,published_version	high	False	3	1.0	1.0	False	False	False	2	Selective carbon sources influence the end products of microbial nitrate respiration.
PRJDB7087	False	32929164	PMC7490380	10.1038/s41598-020-71693-5	europepmc_accession,published_version	low	True	2			False	False	False	2	Understanding and predicting ciprofloxacin minimum inhibitory concentration in Escherichia coli with machine learning.
PRJNA577539	False	32499351	PMC7272560	10.1128/mra.00429-20	europepmc_accession	high	True	1	1.0	1.0	False	False	False	1	Draft Genome Sequence of an Extended-Spectrum β-Lactamase-Producing Klebsiella oxytoca Strain Bearing <i>mcr-9</i> from Qatar.
PRJNA187324	True					low		0			False	False	False	0	
PRJNA265233	True					low		0			False	False	False	0	
PRJNA234172	True					low		0			False	False	True	10	
PRJNA263062	True					low		0			False	False	False	0	
PRJNA234201	True					high		0			False	False	True	10	
PRJNA234191	True					high		0			False	False	True	10	
PRJNA234192	True					high		0			False	False	True	10	
PRJNA234193	True					high		0			False	False	True	10	
PRJNA234194	True					high		0			False	False	False	10	
PRJNA234195	True					high		0			False	False	False	10	
PRJNA234196	True					high		0			False	False	True	10	
PRJNA234197	True					high		0			False	False	False	10	
PRJNA234198	True					high		0			False	False	False	10	
PRJNA234199	True					high		0			False	False	True	10	
PRJNA234200	True					high		0			False	False	True	10	
PRJNA234202	True					high		0			False	False	False	10	
PRJNA234215	True					high		0			False	False	False	10	
PRJNA234204	True					high		0			False	False	True	10	
PRJNA234188	True					high		0			False	False	True	10	
PRJNA234205	True					high		0			False	False	False	10	
PRJNA234206	True					high		0			False	False	True	10	
PRJNA234207	True					high		0			False	False	True	10	
PRJNA234208	True					high		0			False	False	True	10	
PRJNA234209	True					high		0			False	False	True	10	
PRJNA234210	True					low		0			False	False	False	10	
PRJNA234211	True					high		0			False	False	True	10	
PRJNA234212	True					high		0			False	False	True	10	
PRJNA234190	True					high		0			False	False	True	10	
PRJNA234203	True					high		0			False	False	True	10	
PRJEB11876	False	27875980	PMC5120500	10.1186/s12864-016-3289-7	europepmc_accession,europepmc_secondary	high	False	2	95.0	95.0	False	False	False	1	Comparative genomics of European avian pathogenic E. Coli (APEC).
PRJNA265255	True					low		0			False	False	False	0	
PRJNA323833	False	29233035	PMC5955179	10.1080/21505594.2017.1395129	europepmc_secondary,europepmc_title	high	True	2	1.0	1.0	False	False	False	1	From the wound to the bench: exoproteome interplay between wound-colonizing Staphylococcus aureus strains and co-existing bacteria.
PRJNA323981	True					low		0			False	False	False	0	
PRJEB13482	True					low		0			False	False	False	0	
PRJNA219289	True					high		0			False	False	True	10	
PRJNA219287	True					high		0			False	False	False	10	
PRJNA328507	True					low		0			False	False	False	0	
PRJNA219284	True					high		0			False	False	False	10	
PRJNA219283	True					high		0			False	False	True	10	
PRJNA339560	True					low		1	1.0	1.0	False	False	False	1	
PRJNA219278	True					high		0			False	False	True	10	
PRJEB12887	True					low		0			False	False	False	0	
PRJNA219277	True					low		0			False	False	True	10	
PRJEB26512	False	31969452	PMC7007522	10.1073/pnas.1918951117	europepmc_accession,europepmc_title	high	True	2	34.0	34.0	False	False	False	2	Identifying determinants of bacterial fitness in a model of human gut microbial succession.
PRJNA343442,PRJNA175243	False	23209233	PMC3510562	10.1128/jb.01897-12	ncbi_bioproject	medium		1	1.0	1.0	True	False	False	2	Genome sequence of OXA-48 carbapenemase-producing Klebsiella pneumoniae KpO3210.
PRJNA344449	True					low		0			False	False	False	0	
PRJNA348457	False	29220374	PMC5722313	10.1371/journal.pone.0189438	europepmc_accession	high	True	1	1.0	1.0	False	False	False	1	A blaOXA-181-harbouring multi-resistant ST147 Klebsiella pneumoniae isolate from Pakistan that represent an intermediate stage towards pan-drug resistance.
PRJNA350242	True					low		0			False	False	False	0	
PRJNA219276	True					high		0			False	False	True	10	
PRJNA219275	True					low		0			False	False	True	10	
PRJNA219272	True					high		0			False	False	True	10	
PRJNA265257	True					low		0			False	False	False	0	
PRJNA234213	True					low		0			False	False	False	10	
PRJNA234216	True					high		0			False	False	False	10	
PRJNA234120	True					low		0			False	False	True	10	
PRJNA234221	True					high		0			False	False	True	10	
PRJNA234178	True					low		0			False	False	False	10	
PRJNA234179	True					high		0			False	False	False	10	
PRJNA234180	True					high		0			False	False	False	10	
PRJNA234181	True					low		0			False	False	False	10	
PRJNA234182	True					high		0			False	False	True	10	
PRJNA234183	True					high		0			False	False	True	10	
PRJNA234184	True					high		0			False	False	True	10	
PRJNA234185	True					high		0			False	False	True	10	
PRJNA234219	True					high		0			False	False	False	10	
PRJNA234220	True					high		0			False	False	True	10	
PRJNA265232	True					low		0			False	False	False	0	
PRJNA234217	True					low		0			False	False	False	10	
PRJNA234265	True					low		0			False	False	True	10	
PRJNA234132	True					high		0			False	False	False	10	
PRJNA244068	True					low		0			False	False	False	0	
PRJNA244547	True					low		0			False	False	False	0	
PRJNA244567	True					high		0			False	False	True	6	
PRJNA234129	True					high		0			False	False	True	10	
PRJNA234128	True					high		0			False	False	True	10	
PRJNA234123	True					high		0			False	False	True	10	
PRJNA234122	True					high		0			False	False	True	10	
PRJNA259683	True					low		0			False	False	False	0	
PRJNA234177	True					high		0			False	False	True	10	
PRJNA234176	True					high		0			False	False	True	10	
PRJNA234175	True					high		0			False	False	True	10	
PRJNA234174	True					high		0			False	False	True	10	
PRJNA234218	True					low		0			False	False	True	10	
PRJNA234189	True					high		0			False	False	True	10	
PRJNA234187	True					high		0			False	False	True	10	
PRJNA265254	True					low		0			False	False	False	0	
PRJNA234171	True					high		0			False	False	True	10	
PRJNA234136	True					high		0			False	False	True	10	
PRJNA234137	True					high		0			False	False	False	10	
PRJNA234140	True					low		0			False	False	False	10	
PRJNA234141	True					low		0			False	False	True	10	
PRJNA234142	True					high		0			False	False	False	10	
PRJNA234143	True					high		0			False	False	True	10	
PRJNA234144	True					high		0			False	False	False	10	
PRJNA234148	True					high		0			False	False	False	10	
PRJNA234149	True					high		0			False	False	True	10	
PRJNA234157	True					high		0			False	False	True	10	
PRJNA234168	True					high		0			False	False	True	10	
PRJNA234169	True					low		0			False	False	False	10	
PRJNA234170	True					high		0			False	False	False	10	
PRJNA201943	True					low		0			False	False	False	10	
PRJNA234186	True					high		0			False	False	True	10	
PRJNA234173	True					low		0			False	False	True	10	
PRJNA547184	True					low		0			False	False	False	0	
PRJNA187300	True					low		0			False	False	False	0	
PRJNA201942	True					low		0			False	False	True	10	
PRJNA202005	True					high		0			False	False	True	10	
PRJNA202036	True					low		0			False	False	True	10	
PRJNA202035	True					high		0			False	False	True	10	
PRJNA202034	True					low		0			False	False	True	10	
PRJNA202033	True					high		0			False	False	True	10	
PRJNA202032	True					high		0			False	False	True	10	
PRJNA202026	True					low		0			False	False	True	10	
PRJNA202025	True					low		0			False	False	True	10	
PRJNA445318	False	30533674	PMC6256697	10.1128/mra.01083-18	europepmc_secondary	high	True	1	1.0	1.0	False	False	False	1	Draft Genome Sequence of Dyella sp. Strain C9, Isolated from a Malaysian Tropical Peat Swamp Forest.
PRJNA202008	True					low		0			False	False	True	10	
PRJNA202006	True					low		0			False	False	False	10	
PRJNA201967,PRJNA201954	True					low		0			False	False	False	0	
PRJNA202012	True					low		0			False	False	True	10	
