study_accession	tag	n_samples	paper	paper_title	study_type	study_type_excluded	study_setting	amr_study	country_base	country_filled	collection_date_base	collection_date_filled	isolation_source_base	isolation_source_filled	host_base	host_filled
PRJNA219270	sub10	1			observational	False		amr	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA219271	sub10	1			observational	False		amr	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA219272	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA219275	sub10	1			observational	False		amr	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA219276	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA219277	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA219278	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA219283	sub10	1			observational	False		amr	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA219284	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA219287	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA219289	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA219292	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA219293	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA219294	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA219295	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA219296	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA219297	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA219298	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA219299	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA219300	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA223655	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA230968	sub10	2			observational	False	community	surveillance	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA230969	sub10	2	https://pmc.ncbi.nlm.nih.gov/articles/PMC5730671/	Species-Wide Collection of <i>Escherichia coli</i> Isolates for Examination of Genomic Diversity.	observational	False	community	surveillance	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA231221	tail50_99	84	https://pmc.ncbi.nlm.nih.gov/articles/PMC6658474/	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science.	observational	False	mixed	surveillance	0.9285714285714286	0.9285714285714286	0.39285714285714285	0.39285714285714285	0.5595238095238095	0.5595238095238095	0.9285714285714286	0.9285714285714286
PRJNA233696	sub10	1			observational	False			1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA233724	sub10	1			observational	False			1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234107	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234108	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234109	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234110	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234111	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234112	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234113	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234114	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234115	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234116	sub10	1			observational	False		amr	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234117,PRJNA201967	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234118	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234119	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234120	sub10	1			observational	False		amr	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234122	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234123	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234128	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234129	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234132	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234134	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234135	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234136	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234137	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234140	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234141	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234142	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234143	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234144	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234148	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234149	sub10	1			observational	False		amr	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234157	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234168	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234169	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234170	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234171	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234172	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234173	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234174	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234175	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234176	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234177	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234178	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234179	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234180	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234181	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234182	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234183	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234184	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234185	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234186	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234187	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234188	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234189	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234190	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234191	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234192	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234193	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234194	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234195	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234196	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234197	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234198	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234199	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234200	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234201	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234202	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234203	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234204	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234205	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234206	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234207	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234208	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234209	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234210	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234211	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234212	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234213	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234215	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234216	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234217	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234218	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234219	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234220	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234221	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234222	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234223	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234224	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234225	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234226	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234227	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234228	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234229	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234230	sub10	1			observational	False		amr	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234231	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234232	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234233	sub10	1			observational	False		amr	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234234	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234235	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234236	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234239	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234240	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234241	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234242	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234243	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234244	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234245	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234249	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234250	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234251	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234258	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234259	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234260	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234261	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234262	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234263	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234264	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA234265	sub10	1			observational	False			0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA237670	tail50_99	84	https://pmc.ncbi.nlm.nih.gov/articles/PMC3977278/	Molecular dissection of the evolution of carbapenem-resistant multilocus sequence type 258 Klebsiella pneumoniae.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.39285714285714285	0.39285714285714285	1.0	1.0
PRJNA243331		3			observational	False	community		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
PRJNA244068	sub10	1			observational	False			1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJNA244547	sub10	1			observational	False			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
PRJNA244567	sub10	1			other	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJNA246471	train	131	https://pmc.ncbi.nlm.nih.gov/articles/PMC4879409/	Nested Russian Doll-Like Genetic Mobility Drives Rapid Dissemination of the Carbapenem Resistance Gene blaKPC.	observational	False	hospital	amr	1.0	1.0	0.9923664122137404	0.9923664122137404	1.0	1.0	1.0	1.0
PRJNA246471,PRJNA353060	sub10	2			observational	False			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJNA248593	sub10	3			observational	False		amr	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJNA248792	sub10	9			observational	False			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJNA252957	test	167	https://pmc.ncbi.nlm.nih.gov/articles/PMC4510304/	Genomic Analysis of the Emergence and Rapid Global Dissemination of the Clonal Group 258 Klebsiella pneumoniae Pandemic.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJNA253300	tail50_99	62	https://pmc.ncbi.nlm.nih.gov/articles/PMC4249533/	Genome sequencing of an extended series of NDM-producing Klebsiella pneumoniae isolates from neonatal infections in a Nepali hospital characterizes the extent of community- versus hospital-associated transmission in an endemic setting.	observational	False	mixed	mixed	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJNA254477	sub10	2			observational	False	community	surveillance	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJNA259658	tail50_99	73	https://pmc.ncbi.nlm.nih.gov/articles/PMC5156309/	Comprehensive Genome Analysis of Carbapenemase-Producing Enterobacter spp.: New Insights into Phylogeny, Population Structure, and Resistance Mechanisms.	observational	False	hospital	mixed	0.9863013698630136	0.9863013698630136	1.0	1.0	0.0547945205479452	0.0547945205479452	0.863013698630137	0.863013698630137
PRJNA259683	sub10	1			observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJNA261540	tail25_49	41	https://pmc.ncbi.nlm.nih.gov/articles/PMC4451916/	KPC and NDM-1 genes in related Enterobacteriaceae strains and plasmids from Pakistan and the United States.	observational	False	hospital	mixed	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
PRJNA263062	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265231	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265232	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265233	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265234	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265235	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265236	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265237	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265240	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265241	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265242	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265243	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265244	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265245	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265246	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265247	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265248	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265254	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265255	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265256	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265257	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265258	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265259	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265260	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265261	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265262	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265263	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265264	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265265	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265266	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265267	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265268	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265269	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265270	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265275	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA265347	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
PRJNA267549	tail100	114	https://pmc.ncbi.nlm.nih.gov/articles/PMC4521703/	A Year of Infection in the Intensive Care Unit: Prospective Whole Genome Sequencing of Bacterial Clinical Isolates Reveals Cryptic Transmissions and Novel Microbiota.	observational	False	hospital	surveillance	1.0	1.0	0.0	1.0	0.0	0.9649122807017544	1.0	1.0
PRJNA269675	tail100	102			observational	False			0.8137254901960784	0.8137254901960784	1.0	1.0	0.7745098039215687	0.7745098039215687	0.803921568627451	0.803921568627451
PRJNA269826	sub10	1			observational	False	community	surveillance	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
PRJNA269833	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA269877	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA269879	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA269915	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA269984	sub10	3			observational	False			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJNA271601	sub10	8			experimental_evolution	True	community		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJNA271899	train	258	https://pmc.ncbi.nlm.nih.gov/articles/PMC8981930/	Inter-species geographic signatures for tracing horizontal gene transfer and long-term persistence of carbapenem resistance.	observational	False	hospital	mixed	0.7945736434108527	1.0	0.9883720930232558	1.0	0.015503875968992248	0.4069767441860465	1.0	1.0
PRJNA272089	sub10	1			observational	False			0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
PRJNA275974	sub10	1			observational	False		surveillance	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJNA278293	tail25_49	40			observational	False	hospital		1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJNA278886	train	281	https://pmc.ncbi.nlm.nih.gov/articles/PMC6355588/	Diverse Vectors and Mechanisms Spread New Delhi Metallo-β-Lactamases among Carbapenem-Resistant <i>Enterobacteriaceae</i> in the Greater Boston Area.	observational	False	hospital	amr	0.896797153024911	0.896797153024911	0.896797153024911	0.896797153024911	0.896797153024911	0.896797153024911	0.896797153024911	0.896797153024911
PRJNA279496	tail10_24	12	https://pmc.ncbi.nlm.nih.gov/articles/PMC4580588/	In Vivo Evolution of Bacterial Resistance in Two Cases of Enterobacter aerogenes Infections during Treatment with Imipenem.	observational	False	hospital	mixed	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0
PRJNA279611	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC4937214/	Plasmid Dynamics in KPC-Positive Klebsiella pneumoniae during Long-Term Patient Colonization.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
PRJNA279619	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC4937214/	Plasmid Dynamics in KPC-Positive Klebsiella pneumoniae during Long-Term Patient Colonization.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
PRJNA279650	sub10	1			observational	False			1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
PRJNA279655	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC4958172/	Horizontal Transfer of Carbapenemase-Encoding Plasmids and Comparison with Hospital Epidemiology Data.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
PRJNA279656	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC4958172/	Horizontal Transfer of Carbapenemase-Encoding Plasmids and Comparison with Hospital Epidemiology Data.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
PRJNA279657	sub10	1			other	False			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRJNA279669	sub10	1			observational	False			1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
PRJNA279671	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC4937214/	Plasmid Dynamics in KPC-Positive Klebsiella pneumoniae during Long-Term Patient Colonization.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
PRJNA279672	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC4937214/	Plasmid Dynamics in KPC-Positive Klebsiella pneumoniae during Long-Term Patient Colonization.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0
PRJNA284365	sub10	1	https://pmc.ncbi.nlm.nih.gov/articles/PMC4937214/	Plasmid Dynamics in KPC-Positive Klebsiella pneumoniae during Long-Term Patient Colonization.	observational	False	hospital	amr	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
PRJNA286705	tail10_24	12			observational	False	hospital	amr	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PRJNA287968	tail10_24	22	https://pmc.ncbi.nlm.nih.gov/articles/PMC5923139/	Spread of Plasmid-Encoded NDM-1 and GES-5 Carbapenemases among Extensively Drug-Resistant and Pandrug-Resistant Clinical Enterobacteriaceae in Durban, South Africa.	observational	False	hospital	amr	1.0	1.0	0.45454545454545453	1.0	0.6363636363636364	0.6363636363636364	1.0	1.0
PRJNA288601	test	7266			observational	False	hospital		0.9541701073492981	0.9541701073492981	0.9514175612441509	1.0	0.8801266171208367	0.8801266171208367	0.9519680704651803	0.9519680704651803
